Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
4921,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4915,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4914,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4801,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4800,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4747,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4746,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4745,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4744,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4743,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4742,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4690,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4601,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4600,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4599,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4598,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4597,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4559,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4399,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4398,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4390,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4389,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4388,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4387,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4386,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4061,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4060,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4059,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
4058,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3999,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3998,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3818,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3817,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3816,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3815,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3812,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3811,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3810,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3800,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3799,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3798,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3797,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3796,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3795,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3785,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3784,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3783,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3782,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3781,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3780,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3773,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3772,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3771,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3770,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3769,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3768,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3732,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3731,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3730,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3729,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3728,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3727,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3719,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3718,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3717,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3716,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3652,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3651,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3650,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3649,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3627,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3626,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3625,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3624,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3407,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3406,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3405,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3404,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3403,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3402,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3308,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3307,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3304,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3303,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3302,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3301,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3300,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3101,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3100,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3099,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3059,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3058,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3057,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3054,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3053,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3052,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3051,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3050,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3049,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3025,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
3024,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2999,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2998,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2997,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2996,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2995,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2994,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2977,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2976,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2975,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2974,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2973,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2972,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2950,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2949,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2948,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2947,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2946,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2945,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2938,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2937,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2936,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2935,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2934,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2933,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2840,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2839,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2838,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2837,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2591,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2554,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2479,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2478,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2477,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2427,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2426,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2425,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2424,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2423,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2422,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2382,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2381,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2336,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2335,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2334,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2333,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2332,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2331,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2286,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2285,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2284,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2283,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2282,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2281,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2195,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2194,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2193,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2192,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2191,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2190,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1986,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1985,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1984,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1983,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1613,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,FUNDACIÓN ICO,30/09/2014,EDSC del año,
1612,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,FUNDACIÓN ICO,30/09/2014,EDSC del año,
1579,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1546,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1241,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1240,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1239,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1238,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1237,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1236,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1203,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1202,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1201,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1200,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1199,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
1198,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
932,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
808,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
807,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
648,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
634,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
633,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
632,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
631,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
630,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
487,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
387,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,30/09/2014,EDSC del año,
2014201468600701,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,REAL PATRONATO SOBRE DISCAPACIDAD,23/09/2014,CONVENIO POR EL QUE SE CANALIZA LA SUBVENCIÓN NOMINATIVA A FAVOR DE FUNDACIÓN CNSE PARA EL CENTRO DE NORMALIZACIÓN LINGÜÍSTICA DE LA LENGUA DE SIGNOS ESPAÑOLA,
20142014593601,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,REAL PATRONATO SOBRE DISCAPACIDAD,23/09/2014,Resolución de 6 de mayo de 2014, del Real Patronato sobre Discapacidad, por la que se convoca la concesión de los Premios Reina Sofía 2014 de prevención de la discapacidad,
201320135814101,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,23/09/2014,Resolución de 23 de mayo de 2013, de la Presidencia del Consejo Superior de Deportes, por la que se regula la convocatoria para la concesión de préstamos a federaciones deportivas españolas y agrupaciones de clubes de ámbito estatal para el año 2013.,
20102010472701,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,20/09/2014,Orden INT/696/2010, de 8 de marzo, por la que se convocan subvenciones destinadas a entidades locales adscritas a los Planes de Emergencia Nuclear.,
20142014905901,NO,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESA,19/09/2014,Orden IET/1568/2014, de 27 de agosto, por la que se efectúa la convocatoria correspondiente a 2014 de las ayudas establecidas para el apoyo a agrupaciones empresariales innovadoras con objeto de mejorar la competitividad de las pymes.,
2013201366205201,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,19/09/2014,Adenda al Convenio de colaboración suscrito entre el Ministerio de Educación y la Corporación RTVE,
20102010404701,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,13/09/2014,02.-LEY 3/2010, de 10 de marzo (que trae causa del RDL12/2009),
201020071839301,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,13/09/2014,03.-RD-10/07:R.D.L. Tormentas e inundaciones en C. Valenciana,
201020071235301,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,13/09/2014,05.-RD-5/07: R.D.L. Tormentas lluvias y granizo, varias CC.AA.,
20102005457301,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,13/09/2014,01.-RD-307/05: R.D.  Ministerio del Interior (normativa general),
2014201312755201,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,12/09/2014,Resolución de 28 de diciembre de 2013, de la Presidencia del CSD, por la que se convocan ayudas a las Federaciones Deportivas Españolas para el año 2014.,
