Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
425826,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,26/11/2018,Resolución de 23 de noviembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria AMPER 2019 - Brno (Rep.Checa) - 19 al 22 de marzo,
425825,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,26/11/2018,Resolución de 23 de noviembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ISE 2019 - Ámsterdam (Holanda) - 5 al 8 de febrero,
425701,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/11/2018,Subvención nominativa al Grupo Ciudades Patrimonio de la Humanidad de España para la elaboración de estudios sobre conservación de las ciudades declaradas Patrimonio Mundial (PGE 2018),
425695,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/11/2018,Subvención nominativa al Ayuntamiento de Figueres para la rehabilitación de la Casa Natal de Dalí en Gerona (PGE 2018),
425676,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/11/2018,Subvención nominativa a la Fundación Martín Chirino para gastos de funcionamiento y actividades (PGE 2018),
425671,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/11/2018,Subvención nominativa a la Fundación Torner para gastos de funcionamiento (PGE 2018),
425657,NO,ESTADO,MINISTERIO DE DEFENSA,SECRETARÍA GENERAL DE POLÍTICA DE DEFENSA,26/11/2018,Orden de 8 de noviembre de 2018, por la que se convocan subvenciones para promover la cultura de defensa, correspondiente al año 2019.,
425637,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,AGENCIA ESTATAL DE INVESTIGACIÓN,26/11/2018,Resolución de la Presidencia de la Agencia Estatal de Investigación por la que se aprueba la convocatoria 2018 de ayudas a «Centros de Excelencia Severo Ochoa» y a «Unidades de Excelencia María de Maeztu» del Plan Estatal 2017-2020,
425625,NO,ESTADO,MINISTERIO DE IGUALDAD,INSTITUTO DE LAS MUJERES,26/11/2018,Subvención nominativa CEOE Ley PGE 2018,
425480,NO,ESTADO,MINISTERIO DE IGUALDAD,DELEGACIÓN DEL GOBIERNO CONTRA LA VIOLENCIA DE GÉNERO,23/11/2018,CONVENIO POR EL QUE SE CANALIZA UNA SUBVENCIÓN PREVISTA NOMINATIVAMENTE EN  PGE PARA 2018, A FAVOR DE LA (FEMP), PARA LA REALIZACIÓN DE ACTUACIONES RELACIONADAS CON LA ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER EN EL ÁMBITO LOCAL.,
425424,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,SERVICIO PÚBLICO DE EMPLEO ESTATAL,23/11/2018,Convocatoria para otorgar subvencione spúblicas a trabajadores autónomos a través del SEPE en 2018,
425378,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Secretaría General Iberoamericana (SEGIB) para el proyecto Iberorquestas,
425377,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A Canarias Cultura en Red para el Festival de Música de Canarias,
425376,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Asociacion de Amigos de la Ópera de A Coruña para su temporada lírica,
425374,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Asociación de Amigos Canarios de la Ópera para la temporada de Ópera de Las Palmas,
425372,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Fundación del Festival de Ópera de Oviedo para el desarrollo de su temporada lírica,
425371,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Asociación Bilbaina de Amigos de la Ópera para el desarrollo de su temporada,
425370,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Fundación Pau Casals para sus actividades,
425368,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Federación Coordinadora del Cicuito de Músicas Populares (GPS),
425365,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Fundación Instituto de Cámara de Madrid para sus actividades,
425257,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Fundación privada Orfeo Catalá -Palau de la Música Catalana para sus actividades,
425253,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA,22/11/2018,Convocatoria de plazas para auxiliares de conversación españoles en el extranjero para el curso académico 2019-2020,
425249,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Fundación Isaac Albéniz, para sus actividades anuales,
425242,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,A la Fundación Archivo Manuel de Falla para sus actividades,
425230,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,22/11/2018,Resolución de 29 de octubre, de la Presidencia del Consejo Superior de Deportes, por la que se publica el Convenio con la Fundación Deporte Joven,
425226,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,22/11/2018,Actos conmemorativos del centenario del Orfeón La Paz, de La Laguna, Tenerife,
425021,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,21/11/2018,Transferencia corriente al Centro de Estudios de Transportes del Mediterráneo Occidental (CETMO),
424846,NO,ESTADO,MINISTERIO DE VIVIENDA Y AGENDA URBANA,DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA,21/11/2018,Convenio Fundación DOCOMOMO,
424721,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,ORGANISMO AUTÓNOMO PARQUES NACIONALES,20/11/2018,CONVENIO DE COLABORACION CON LA ASOCIACION DE MUNICIPIOS CON TERRITORIO EN PARQUES NACIONALES (AMUPARNA) PARA APOYAR LA DIFUSION DE LA RED DE PARQUES NACIONALES EN EL AMBITO LOCAL,
424713,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,20/11/2018,A la Fundación para la Danza Víctor Ullate para sus actividades anuales 2018,
424707,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,20/11/2018,A la Red Española de Teatros, Auditorios,Circuitos y Festivales de titularidad pública Asoc cultural para Danza a Escena,
424695,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,ORGANISMO AUTÓNOMO PARQUES NACIONALES,20/11/2018,CONVENIO ENTRE EL OAPN Y LA FUNDACION PARA LA CONSERVACION DEL QUEBRANTAHUESOS DE CONCESION DE UNA SUBVENCION PUBLICA PREVISTA NOMINATIVAMENTE EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA 2018 PARA LA REALIZACION DEL PROYECTO LIFE+RED QUEBRANTAHUESOS,
424674,NO,ESTADO,MINISTERIO DE HACIENDA,CONSORCIO DE LA CIUDAD DE SANTIAGO DE COMPOSTELA,20/11/2018,Resolución de 16 de noviembre de 2018 del Consorcio de Santiago de concesión de subvención al Auditorio de Galicia para la obra de adecuación de las salas de ensayo. Santiago de Compostela,
424673,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,ORGANISMO AUTÓNOMO PARQUES NACIONALES,20/11/2018,CONVENIO ENTRE OAPN, UPM, UNIVERSIDADREY JUAN CARLOS Y UNIVERSIDAD DE ALCALA PARA LA CREACION DE LA,
424671,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,ORGANISMO AUTÓNOMO PARQUES NACIONALES,20/11/2018,CONVENIO  CON EL AYUNTAMIENTO DE LA GRANJA DE SAN ILDEFONSO PARA EL APOYO MUTUO EN MATERIA DE DESARROLLO SOSTENIBLE Y EN EL AMBITO DE SUS RESPECTIVAS ACTIVIDADES,
424630,NO,ESTADO,MINISTERIO DE CULTURA,INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA,20/11/2018,A la Fundación Antonio Gades para sus actividades anuales,
424198,NO,ESTADO,MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES,DIRECCIÓN GENERAL DE MIGRACIONES,16/11/2018,DGM - SGE ASOCIACIONES 2019,
424174,NO,ESTADO,MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES,DIRECCIÓN GENERAL DE MIGRACIONES,16/11/2018,DGM - SGE PROYECTOS E INVESTIGACIÓN 2019,
424145,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,16/11/2018,Ayudas del Centro para el Desarrollo Tecnologico Industrial E.P.E. a la inversión para potenciar el crecimiento de empresas innovadoras.,
424034,NO,ESTADO,MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES,SUBSECRETARÍA DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES,16/11/2018,Convenio de colaboración con la Fundación de Estudios Parlamentarios y del Estado Autonómico Manuel Giménez Abad,
423909,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,15/11/2018,Resolución de la Presidencia del CSD, por la que se convocan ayudas a las Federaciones Deportivas Españolas para equipamientos e inversiones deportivas y para el Programa Nacional de Tecnificación Deportiva en 2018.,
423871,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,SECRETARÍA GENERAL DE PESCA,15/11/2018,Orden por la que se convocan becas de formación técnica y práctica en materia de comercialización y transformación pesquera,
423791,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,15/11/2018,Convenio entre el Ministerio para la Transición Ecológica, SEE y el INS-Serv. Salud Principado Asturias para canalizar una subvención nominativa prevista en los PGE de 2018 para actividades de Seguridad Minera.,
423699,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA,14/11/2018,Convocatoria de plazas para Profesores Visitantes en centros educativos de Estados Unidos de América, Canadá y Reino Unido para el curso académico 2019-2020.,
423524,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,14/11/2018,Coonvenio entre el Ministerio para Transición Ecológica, SEE y el Ayuntamiento de Betancuria para canalizar una subvención prevista nominativamente en los PGE, cuyo objeto es la adquisición de vehículos e instalación de puntos de recarga.,
423443,NO,ESTADO,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,ENTIDAD PÚBLICA EMPRESARIAL RED.ES,13/11/2018,Resolución de 7 de noviembre de 2018, de la Dirección General de la Entidad Pública Empresarial Red.es, M.P., por la que se convocan las ayudas del Programa Asesores Digitales,
423330,NO,ESTADO,MINISTERIO DE CULTURA,FUNDACIÓN LÁZARO GALDIANO,13/11/2018,BECA BIBLIOTECA 2018 -2019,
423213,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,12/11/2018,Resolución de la Presidencia del Consejo Superior de Deportes, por la que se convocan subvenciones para los gastos de organización de los Campeonatos de España Universitarios realizados en el 2018.,
423068,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,12/11/2018,SUBVENCIONES AL PROGRAMA DE PROMOCIÓN DEL EMPLEO AUTÓNOMO,
422902,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,09/11/2018,SUBVENCIONES PARA EL MANTENIMIENTO DE PUESTOS DE TRABAJO EN LOS CENTROS ESPECIALES DE EMPLEO,
422689,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,FONDO ESPAÑOL DE GARANTÍA AGRARIA,08/11/2018,Resolución de 8 de noviembre de 2018, del Fondo Español de Garantía Agraria O.A., por la que se convocan las subvenciones a las organizaciones asociadas de distribución, para sufragar los gastos administrativos, de transporte y almacenamiento de los al,
422670,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS (CIEMAT),08/11/2018,Convocatoria de ayudas públicas del programa FTEC - Spanish Traineeship Programme 2018,
422523,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,07/11/2018,Resol. 06  Noviembre del SEPE, por la que se aprueba por proced. T.A. la convoc. de subv. en rég. de conc comp, para la realiz. de acciones de orient. profes. para el empleo y asist. para el autoempleo, a E. C. sin ánimo de lucro para el año 2019 Melilla,
422512,NO,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,SUBSECRETARÍA DE INDUSTRIA Y TURISMO,07/11/2018,Orden de 7 de noviembre de 2018 por la que se convoca, por tramitación anticipada, la concesión de dos becas Fulbright para el curso 2019/2020,
422510,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,FUNDACIÓN CENTRO NACIONAL DE INVESTIGACIONES ONCOLÓGICAS CARLOS III,07/11/2018,Contratos Postdoctorales Amigos del CNIO,
422318,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,06/11/2018,PREMIO NACIONAL DE INGENIERIA CIVIL DEL MINISTERIO DE FOMENTO 2018,
422286,NO,ESTADO,MINISTERIO DEL INTERIOR,DIRECCIÓN GENERAL DE LA POLICÍA,06/11/2018,Subvención para la financiación de la realización de actividades deportivas.,
422178,NO,ESTADO,MINISTERIO DE HACIENDA,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,05/11/2018,RESOLUCIÓN DE LA SE DE HACIENDA POR LA QUE SE REGULA LA CONCESIÓN DE UNA SUBVENCIÓN A LANBIDE-SERVICIO VASCO DE EMPLEO,
422110,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,05/11/2018,ayuda a 6 comisarios de fronteras de Marruecos y Argelia para participar en la Operación Paso del Estrecho (OPE 2018),
422099,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,05/11/2018,SUBVENCIÓN NOMINATIVA A LA OFICINA VIII CENTENARIO DE LA UNIVERSIDAD DE SALAMANCA,
422065,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,SECRETARÍA GENERAL DE PESCA,02/11/2018,Orden 2 noviembre de 2018 por la que se convocan ayudas para armadores afectados por la paralización temporal de la actividad pesquera debido a la no renovación del Acuerdo de Colaboración en el sector pesquero entre la UE y la República de Guinea-Bissau,
421695,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,31/10/2018,FOMENTO DE LA METODOLOGIA BIM EN EL ÁMBITO DE LA CONTRATACIÓN PÚBLICA AL CONSEJO SUPERIOR DE COLEGIOS DE ARQUITECTOS DE ESPAÑA.,
421693,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,31/10/2018,FOMENTO DE LA METODOLOGIA BIM EN EL ÁMBITO DE LA CONTRATACIÓN PÚBLICA AL COLEGIO DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS,
421524,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,SECRETARÍA GENERAL DE PESCA,30/10/2018,ORDEN DE 30 DE OCTUBRE DE 2018 POR LA QUE SE CONVOCA PARA EL AÑO 2018 LA CONCESIÓN DE AYUDAS A LA UTILIZACIÓN DEL MECANISMO DE ALMACENAMIENTO EN 2016, 2017 Y 2018 A LAS ORGANIZACIONES DE PRODUCTORES PESQUEROS Y SUS ASOCIACIONES,  FINANCIADAS  CON EL FONDO,
421241,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA,29/10/2018,Subvención nominativa recogida en los Presupuestos Generales del Estado para 2018 a la Fundación Ortega y Gasset-Gregorio Marañon,
421231,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria UITP ESTOCOLMO 2019 - Suecia - 9 al 12 de junio,
421207,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria AMBIENTE - Frankfurt (Alemania) - 8 al 12 de febrero de 2019,
421205,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ISPO 2019 - Múnich (Alemania) - 3 a 6 de febrero,
421200,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Misión de Estudio CHILE 2018 - Santiago de Chile (Chile) - 8 al 13 de diciembre,
421192,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,ADENDA+Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria TECMA 2019 - Ciudad de México (México) - 5 al 8 de marzo,
421190,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,ADENDA + Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria SIRHA - Lyon (Francia) - 26 al 31 de enero de 2019,
421189,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,ADENDA + Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria NORSHIPPING 2019 - Oslo (Noruega) - 4 al 7 de junio,
421187,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,ADENDA+Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria NAFEM - Orlando (EE.UU.) - 7 al 9 de febrero de 2019,
421182,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria MIDEST 2019 - Lyon (Francia) - 5 al 8 de marzo de 2019,
421178,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,29/10/2018,Resolución de 22 de octubre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria GLOBAL INDUSTRIE 2019 - Lyon (Francia) - 5 al 8 de marzo,
421166,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,29/10/2018,Ayuda directa a SENEGAL (segundo semestre 2018) para financiación de actividades de lucha contra la inmigración irregular, en el ámbito de la Cooperación Policial internacional, al amparo del R.D. 732/2007, de 8 de junio.,
421143,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Programa Afro Perú 2018 Reconocimiento y ejercicio derechos población afroperuana,
421142,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Apoyo a la organización Latinosan 2019,
421141,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Marruecos 2018 Educación ASTICUDE Proyecto UE Kafaat LilJamia,
421140,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental 2018 PARAGUAY Desarrollo y fortalecimiento de emprendimientos de jóvenes con especial atención a muj,
421139,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental BOLIVIA 2018 AGUA MMAYA LAIF_2,
421138,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Palestina 2018 Rural ESDC Recuperación económica mujeres,
421137,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental 2018 COLOMBIA Desarrollo territorial en el Departamento de Nariño en condiciones de Paz (Fase III),
421136,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental  2018 Panamá Empoderamiento político de la mujer en la Comarca Emberá,
421135,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Fortalecimiento de la Red de Escuelas Taller de América Latina y el Caribe,
421134,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Palestina 2018 Gobernabilidad Mº Finanzas AP (PEGASE),
421133,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental 2018 PERÚ Apoyo a la creación de empleo y desarrollo urbano de Cajamarca,
421132,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/10/2018,Convocatoria Instrumental Ecuador 2018 Reconstrucción post terremoto AME,
