Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
668374,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,30/12/2022,Convocatoria de ayudas para contratos predoctorales del Programa Salvador de Madariaga en el Instituto Universitario Europeo,
668209,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,30/12/2022,Convocatoria de ayudas para la formación de profesorado universitario FPU22,
668077,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,30/12/2022,SUBVENCIÓN DIRECTA A LA FUNDACIÓ CULTURAL JORDI DE SANT JORDI DE LA COMUNITAT VALENCIANA, PARA ACTIVIDADES DE FOMENTO Y PROMOCIÓN DEL VALENCIANO/CATALÁN Y OFERTA DE CONTENIDOS DIVERSOS Y DE CALIDAD,
668069,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,30/12/2022,concesión beca de curso intensivo de  lengua española a funcionario policial de Costa de Marfil, al ampar del R.D. 732/2007 de 8 de junio,
668066,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,30/12/2022,SUBVENCIÓN DIRECTA A LA FUNDACIÓN PRIVADA PROCAT, PARA LA EJECUCIÓN DE LA OBRA DE REFORMA Y AMPLIACIÓN DEL EDIFICIO SOCIO&#8208 CULTURAL,
667957,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,30/12/2022,Resol. 29 de Dic. 2022 del SEPE, por la que se aprueba la convocatoria de tramite anticipado de subvenciones en régimen de concurrencia comp. para la realiz de acciones OPEA,  entidades  sin ánimo de lucro para el año 2023 Melilla,
667921,NO,ESTADO,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,DELEGACIÓN DEL GOBIERNO EN CANARIAS,30/12/2022,Ttes 2021 Real Decreto 147/2019, de 15 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el Anexo I del Tratado de Funcionamiento de la Unión Europea, con origen o destino en las Islas Canarias.,
667897,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,30/12/2022,Ayuda a dos generales/coroneles de gerdarmeria nacional de Mauritania para asistir a la pasantia-visita estado en dependencias Guardia Civil en Madrid, Málaga y Granada, al amparo del R.D. 732/2007 de 8 de junio.,
667889,NO,ESTADO,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,DELEGACIÓN DEL GOBIERNO EN CANARIAS,30/12/2022,Ttes, 2021, Real Decreto 552/2020, de 2 de junio, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el Anexo I del Tratado de Funcionamiento de la Unión Europea, con origen o destino en las Islas Canarias,
667763,SI,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,SERVICIO PÚBLICO DE EMPLEO ESTATAL,29/12/2022,Convocatoria Tramitación Anticipada Turismo 2023,
667547,NO,ESTADO,MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES,SUBSECRETARÍA DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES,29/12/2022,Subvención nominativa a favor de la Fundación Princesa de Asturias 2022,
667484,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA,29/12/2022,Ayudas directas al transporte público terrestre, urbano e interurbano en el ámbito local reguladas por el Real Decreto-ley 11/2022,
667464,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE INVESTIGACIÓN,29/12/2022,ORDEN DEL MINISTERIO DE CIENCIA E INNOVACIÓN POR LA QUE SE CONCEDE LA SUBVENCIÓN PREVISTA EN EL REAL DECRETO 768/2022, DE 20 DE SEPTIEMBRE, POR EL QUE SE REGULA LA CONCESIÓN DIRECTA A FAVOR DEL CENTRO DE REGULACIÓN GENÓMICA (CRG).,
