Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
736906,SI,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,29/12/2023,Resolución de 29 de diciembre de 2023 de la Presidencia del CDTI E.P.E., por la que se aprueba para el año 2023 de ayudas destinadas a Ecosistemas de Innovación en el marco del Plan Estatal de Investigación Científica y Técnica y de Innovación.,
736733,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,DIRECCIÓN GENERAL DE DIPLOMACIA ECONÓMICA,29/12/2023,Convenio con la Comunidad Autónoma de Andalucía, la Diputación Provincial de Málaga y el Ayuntamiento de Málaga, para la candidatura de Málaga como sede de la Exposición Internacional 2027,
736707,SI,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,SECRETARÍA DE ESTADO DE TURISMO,29/12/2023,Ayudas para el despliegue de Plataformas Tecnologicas y soluciones digitales en destinos de la Red de Destinos Turisticos Inteligentes (PRTR). Convocatoria 2023,
736609,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,SECRETARÍA DE ESTADO DE EDUCACIÓN,29/12/2023,Extracto de la Resolución de 22 de diciembre de 2023, de la Secretaría de Estado de Educación, por la que se convocan ayudas para participar en el programa nacional Centros de Educación Ambiental durante 2024,
736488,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE ALIMENTACIÓN,29/12/2023,CONVENIO ENTRE EL MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN Y EL GOBIERNO VASCO, POR EL QUE SE INSTRUMENTALIZA UNA SUBVENCIÓN NOMINATIVA PREVISTA EN LOS PRESUPUESTOS GENERALES DEL ESTADO DEL 2023 PARA APOYO A LA FUNDACIÓN BASQUE CULINARY CENTER,
736383,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,28/12/2023,Convocatoria de ayudas para la formación de profesorado universitario FPU23,
736257,SI,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,28/12/2023,Orden de 27 de diciembre de 2023 del Ministerio de Cultura, por la que se convocan las ayudas públicas para la promoción del sector del videojuego, del pódcast y de otras formas de creación digital, correspondiente al año 2024,
736193,SI,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,28/12/2023,Resolución de la convocatoria de plazas de cursos tutorizados en línea en 2024 para la formación permanente del profesorado sobre el nuevo currículo derivado de la Ley Orgánica 3/2020, de 29 de diciembre, por la que se modifica la Ley Orgánica 2/2006,
736044,NO,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESA,28/12/2023,Subvención destinada a la Asociación de Diseño Industrial ADI-FAD para dar soporte a la industria en la transición hacia una industria más eficiente y sostenible.,
736041,NO,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESA,28/12/2023,Subvención al Ayuntamiento de Cardona destinada a la financiación de proyectos para la reconversión industrial y social a consecuencia del cese de la actividad minera,
735925,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,27/12/2023,Convocatoria de ayudas para contratos predoctorales del Programa Salvador de Madariaga en el Instituto Universitario Europeo,
735923,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,27/12/2023,Orden de 27 de diciembre de 2023 por la que se convocan por tramitación anticipada las ayudas Beatriz Galindo para el ejercicio 2024.,
735917,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria SALONE DEL MOBILE MILANO - Milán (ITALIA) 16 de abril 2024 a 21 abril 2024,
735916,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria ANUGA FOODTEC -  Colonia (ALEMANIA) del 19 de marzo del 2024 a 22 de marzo de 2024,
735914,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria NPE 2024 - Orlando (EE.UU COSTA ESTE) del 6 de mayo de 2024 al 10 de mayo de 2024,
735912,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria EXPOPACK - Ciudad de México (MÉXICO) de 4 de junio de 2024 al 7 de junio de 2024,
735907,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria PROPOSTE - Como (ITALIA) del 2 de mayo de 2024 al 4 de mayo de 2024,
735904,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria EXPOLATAM - Lima (PERÚ) del 9 de marzo de 2024 al 10 de marzo de 2024,
735902,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Adenda+Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Misión Directa a MISIÓN COMERICAL DIRECTA a Erbil - Sulemaniya (IRAQ) del 4 marzo de 2024 a 8 de marzo de 2024,
735901,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria QS STUDY IN SPANISH - Latam  del 6 de marzo de 2024 al 6 de marzo de 2024,
735899,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria ORGATEC 2024 - Colonia (ALEMANIA) del 22 de octubre de 2024 a 25 de octubre de 2024,
735897,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria WORKSPACE EXPO -  París (FRANCIA) del 26 de marzo de 2024 al 28 de marzo de 2024,
735894,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Misión COMERCIAL ARMENIA - Erevan (ARMENIA) del 18 de marzo de 2024 al 22 de marzo de 2024,
735878,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria DIBS 2024 - Dubai (EMIRATOS ÁRABES) del 28 de febrero 2024 al 3 de marzo 2024,
735876,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en la Feria FAUTOMECHANIKA - Dubai (EMIRATOS ÁRABES) 10 diciembre 2024 a 12 diciembre 2024,
735873,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,27/12/2023,Resolución de 21 de diciembre de 2023 de ICEX España Exportación e Inversiones, E.P.E. por la que se convoca concesión de ayudas para la Participación Agrupada en AUTOMECHANIKA - SHANGHÁI 2024 Shanghái (CHINA)  del 2 diciembre 2024 a 5 diciembre 2024,
