Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
542688,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,30/12/2020,Ayudas al estudio de la Universitat de València para el alumnado ganador de la fase local de la Olimpiada Española de Filosofia que tendrá lugar durante el curso académico 2020-2021,Ajudes a lestudi de la Universitat de València per a lalumnat guanyador de la fase local de lOlimpíada Espanyola de Filosofia que tindrà lloc durant el curs acadèmic 2020-2021
542047,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,28/12/2020,Ayudas para la difusión de conocimiento científico en Ciencias Sociales 2020 para estudiantes de Grado de la Facultat de Ciències Socials de la Universitat de València,Ajudes per a la difusió de coneiximent científic en Ciencies Socials 2020 per a estudiants de Grau de la Facultat de Ciències Socials de la Universitat de València
542021,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,28/12/2020,Ayudas para difusión de conocimiento científico 2020 para estudiantes de doctorado y máster de la Facultad de Ciencias Sociales de la UV,Ajudes per a la difusió de coneiximent científic 2020 per a estudiants de doctorat i màsters de la Facultat de Ciències Socials de la U.V.
542001,NO,OTROS,CONSORCIO PARA LA PROMOCIÓN DE LA MÚSICA,,28/12/2020,Subvención nominativa para colaborar en la realización de actividades relacionadas con la música de la Sociedad Filarmónica de A Coruña durante el ejercicio 2.020,
541487,NO,OTROS,UNIVERSIDAD DE LA RIOJA,,23/12/2020,Resolución de 23 de diciembre de 2020 del Vicerrector de Investigación e Internacionalización por la que se publica la Convocatoria de ayudas para la realización de actividades de divulgación científica de la Universidad de La Rioja 2021,
541457,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,CONVOCATORIA DE LA UNIVERSIDAD DE ALICANTE, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA, PARA LA REALIZACIÓN DE UNAS PRÁCTICAS BECADAS EN EL DEPARTAMENTO DE TECNOLOGÍA INFORMÁTICA Y COMPUTACIÓN DE LA UNIVERSIDAD DE ALICANTE. REFERENCIA: PRA- 26 / 2020-2021.,
541452,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,CONVOCATORIA DE LA UNIVERSIDAD DE ALICANTE, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA, PARA LA REALIZACIÓN DE UNAS PRÁCTICAS BECADAS EN EL DEPARTAMENTO DE TECNOLOGÍA INFORMÁTICA Y COMPUTACIÓN DE LA UNIVERSIDAD DE ALICANTE. REFERENCIA: PRA- 25 / 2020-2021.,
541437,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,CONVOCATORIA DE LA UNIVERSIDAD DE ALICANTE,  EN RÉGIMEN  DE CONCURRENCIA  COMPETITIVA,  PARA  LA  REALIZACIÓN DE UNAS  PRÁCTICAS  BECADAS EN  EL INSTITUTO  MULTIDISCIPLINAR  RAMÓN MARGALEF (IMEM) DE LA UNIVERSIDAD DE ALICANTE REFERENCIA: PRA- 20 / 2020-20,
541433,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,PLURI-IDENTITATS  2021.  CONVOCATORIA  BIENAL  DE ARTES VISUALES,
541428,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,AYUDAS PARA LA FORMACIÓN EN IDIOMAS  A  TRAVÉS DE LA REALIZACIÓN DE CURSOS DE AULAS Y PRUEBAS OFICIALES  DE  IDIOMAS  DURANTE  EL  CURSO  2020-21,
541423,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,CONVOCATORIA FASES LOCALES OLIMPIADAS DEL SABER UA,
541417,NO,OTROS,UNIVERSIDAD DE ALICANTE,,23/12/2020,CONVOCATORIA DEL PREMIO IUIEG 2021 AL MEJOR TRABAJO DE FIN DE MÁSTER EN ESTUDIOS DE GÉNERO, FEMINISTAS Y DE LAS MUJERES.,
541400,NO,OTROS,UNIVERSIDAD DE CÁDIZ,,23/12/2020,CONVOCATORIA GENERAL DE BECAS Y AYUDAS AL ESTUDIO DE LA UNIVERSIDAD DE CÁDIZ, CURSO 2020-2021,
541383,NO,OTROS,CENTRO ASOCIADO DE LA UNED EN TUDELA,,22/12/2020,Premio Extraordinario de Investigación UNED Tudela 2020,
541382,NO,OTROS,CENTRO ASOCIADO DE LA UNED EN TUDELA,,22/12/2020,Ayudas a la investigación UNED Tudela 2020,
541112,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,22/12/2020,Convocatoria de premios a Trabajos Fin de Grado 2020 de la Cátedra Fundación Eurocaja Rural-UCLM sobre el desarrollo económico y social,
540893,NO,OTROS,UNIVERSIDAD DE LEÓN,,21/12/2020,Extracto de la Resolución de 15 de diciembre de 2020 del Rectorado de la Universidad de León, por la que se convocan ayudas directas destinadas a sufragar parcialmente gastos de pruebas diagnósticas COVID19 exigidos a beneficiarios del programa ERASMUS,
540875,NO,OTROS,UNIVERSIDAD DE ALICANTE,,21/12/2020,PROGRAMA DE MOVILIDAD ERASMUS+ KA103 ESTUDIOS CONVOCATORIA CURSO 2021-22,
540850,NO,OTROS,UNIVERSIDAD DE ALICANTE,,21/12/2020,CONVOCATORIA ANUAL DE PREMIOS EXTRAORDINARIOS DE DOCTORADO,
540836,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,21/12/2020,.Beca de colaboración para el procesamiento de altas prestaciones de imágenes médicas para la detección de dolencias comunes con redes neuronales.(id 721/1),
540813,NO,OTROS,UNIVERSIDAD DE ALICANTE,,21/12/2020,CONVOCATORIA DE AYUDAS PARA LA REALIZACIÓN DE PRÁCTICAS  EN LAS REPRESENTACIONES EN EL EXTRANJERO DEL MINISTERIO DE  ASUNTOS  EXTERIORES Y COOPERACIÓN POR PARTE DE ESTUDIANTES DE LA UNIVERSIDAD DE ALICANTE,
540809,NO,OTROS,UNIVERSIDAD DE ALICANTE,,21/12/2020,XIII CONCURSO DE CORTOMETRAJES, OBRAS AUDIOVISUALES, SUBTITULACIÓN Y DOBLAJE DE LA UNIVERSIDAD DE ALICANTE (CURSO 2020-2021),
540771,NO,OTROS,UNIVERSIDAD DE ALICANTE,,21/12/2020,PROGRAMA DE MOVILIDAD GLOBAL CURSO 2021-22,
540681,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,19/12/2020,Resolución del vicerrectorado de Internacionalización y Cooperación de la Universitat Jaume I, por la cual se convoca el Programa de intercambio de estudiantado con AMÉRICA DEL NORTE para el curso 2021/2022,
540680,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,19/12/2020,Resolución del vicerrectorado de Cooperación e Internacionalización de la Universitat Jaume I, por la cual se convoca el Programa de intercambio de estudiantes con ASIA para el curso 2021/2022,
539941,NO,OTROS,UNIVERSIDAD REY JUAN CARLOS,,17/12/2020,Resolución del Rector de la Universidad Rey Juan Carlos de 20 de noviembre de 2020 por la que se aprueba la Convocatoria de Ayudas para la Organización de Congresos, Jornadas y Seminarios en 2021,
539740,NO,OTROS,UNIVERSIDAD DE ALICANTE,,16/12/2020,CONVOCATORIA DE PREMIOS  ¿HACKEA TU  DESTINO!¿ 2020,
539730,NO,OTROS,UNIVERSIDAD DE ALICANTE,,16/12/2020,CONCURSO COLLAGES POÉTICOS A MARIO BENEDETTI,
539721,NO,OTROS,UNIVERSIDAD DE BURGOS,,16/12/2020,Convocatoria de Ayudas para estudiantes de la Universidad de Burgos que realicen el prácticum de Maestro Educación Infantil y Primaria en centros de carácter innovador del medio rural,
539718,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,16/12/2020,Convocatoria de ayudas para estudiantes de la Universidad de Castilla-La Mancha en situaciones especiales. Curso 2020/21.,
539707,NO,OTROS,UNIVERSIDAD DE BURGOS,,16/12/2020,Convocatoria de Ayudas para estudiantes de la Universidad de Burgos que deban realizar las prácticas forzosamente fuera de la ciudad de Burgos y del domicilio familiar para el curso 2020/2021,
539661,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,16/12/2020,Beca de iniciación a la investigación, Proyecto 18I383 «NANOPARTÍCULAS MOLECULARES AUTOENSAMBLADAS QUE RESPONDEN A ESTÍMULOS: UN NUEVO TIPO DE NANOTRANSPORTADORES CON POTENCIALES APLICACIONES BIOMÉDICAS»  - Director: Juan F. Miravet Celades,
539636,NO,OTROS,UNIVERSIDAD REY JUAN CARLOS,,16/12/2020,BASES DEL II CONCURSO DE ARTES PLÁSTICAS URJC, 2020. COLOSAL Y EFÍMERO.,
