Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
840107,NO,OTROS,UNIVERSIDAD DE BURGOS,,13/06/2025,Resolución de 12 de junio de 2025, por la que se convocan ayudas de matrícula, becas de manutención y alojamiento para estudiantes universitarios admitidos al programa UBU-REFUGIO. Curso 2024/2025 (Complementaria  a la ayuda de  4 de noviembre de 2024),
839944,NO,OTROS,UNIVERSIDAD DE SEVILLA,,13/06/2025,Convocatoria de ayudas de bono de comedor curso 2025-2026,
839898,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,13/06/2025,beca diniciació a la investigació Projecte RECERCA I DESENVOLUPAMENT DUNA CÈL·LULA ROBÒTIC-COL·LABORATIVA, AUTÒNOMA I FLEXIBLE PER A ALIMENTACIÓ DE MÀQUINES DARRANCADA DENCENALLAMB INTEL·LIGÈNCIA ARTIFICIAL,
839891,NO,OTROS,CONSORCIO DEL PARQUE NATURAL DE LA SIERRA DE COLLSEROLA,,13/06/2025,Subvenciones dirigidas al pequeño y mediano campesinado de Collserola por los Servicios ecosistémicos que provee a la sociedad, promover buenas prácticas en fincas agroganaderas y tender a la producción ecológica y la agroecología en el Parque  2025,Subvencions adreçades a la petita i mitjana pagesia de Collserola pels serveis ecosistèmics que proveeix a la societat, promoure bones pràctiques en finques agroramaderes i tendir a la producció ecològica i lagroecologia a làmbit del Parc  2025
839796,NO,OTROS,CÁMARA DE COMERCIO DE GRAN CANARIA,,12/06/2025,Convocatoria PYME GLOBAL 2025: Visita a la feria internacional IMPA London, que tendrá lugar del 9 al 10 de septiembre del 2025 en Londres, Reino Unido, para empresas de Gran Canaria.,
839729,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,12/06/2025,BECA DE COLABORACIÓN PARA EL DESARROLLO DEL PROYECTO VIDA UMH (código de subvención: 61-122-4-2025-0137-S),BECA DE COL·LABORACIÓ PER AL DESENVOLUPAMENT DEL PROJECTE VIDA UMH (codi de subvenció: 61-122-4-2025-0137-S)
839719,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,12/06/2025,PROGRAMA DE MOVILIDAD ERASMUS + ACCIÓN KA131 DIMENSIÓN INTERNACIONAL PARA PERSONAL DOCENTE E INVESTIGADOR Y PERSONAL TÉCNICO, DE GESTIÓN Y DE ADMISNISTRACIÓN Y SERVICIOS DURANTE EL CURSO ACADÉMICO 2025/2026 (código de subvención 11-131-4-2025-0104-S),PROGRAMA DE MOBILITAT ERASMUS+ ACCIÓ KA131 DIMENSIÓ INTERNACIONAL PER A PERSONAL DOCENT I INVESTIGADOR I PERSONAL TÈCNIC, DE GESTIÓ I DADMINISTRACIÓ I SERVEIS DURANT EL CURS ACADÈMIC 2025/2026 (codi de subvenció 11-131-4-2025-0104-S)
839664,NO,OTROS,UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA,,12/06/2025,CONVOCATORIA DE  BECAS TALENTO eliA  LAFACULTAD DE ECONOMÍA DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO PARA CURSAR EL MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL APLICADA A ENTORNOS EMPRESARIALES Y FINANCIEROS INTEGRADO,
839625,NO,OTROS,UNIVERSIDAD REY JUAN CARLOS,,12/06/2025,RESOLUCIÓN DE LA UNIVERSIDAD REY JUAN CARLOS POR LA QUE SE APRUEBAN LAS BASES REGULADORAS Y SE HACE PÚBLICA LA CONVOCATORIA DE AYUDAS A DEPORTISTAS Curso 2024-2025,
839615,NO,OTROS,UNIVERSIDAD DE HUELVA,,12/06/2025,Convocatoria de tres ayudas para realizar un Voluntariado Internacional dentro del Proyecto: Juntos por Pays Bassari: Innovación y ciencia para empoderamiento de comunidades y conservación de un sitio UNESCO en Senegal  1.ª Convocatoria.,
839612,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,12/06/2025,Resolución del vicerrector de Investigación de la Universitat Jaume I, por la que se convoca una beca de iniciación a la investigación (Proyecto «NUEVAS AYUDAS COMPLEMENTARIAS A LOS PROYECTOS DE INVESTIGACIÓN CAPTADOS POR EL PERSONAL INVEST,
839591,NO,OTROS,UNIVERSIDAD DE OVIEDO,,12/06/2025,Resolución de la Vicerrectora de Investigación de la Universidad de Oviedo para la contratación de personal investigador y técnico de apoyo, con carácter temporal (contrato predoctoral), en proyectos con cargo a fondos de investigación (Junio 2025),
839586,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,12/06/2025,Convocatoria Premios Mejore proyectos Mentorizado Programa EMPLEA,
839585,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,12/06/2025,PREMIOS EN EL MARCO DE LA INCLUSIÓN, LA VISIBILIDAD, MEJORA DE LA CALIDAD DE VIDA Y DERECHOS DE LAS PERSONAS CON DISCAPACIDAD PARA INCLUIR ESTA PERSPECTIVA A TRAVÉS DE LA DOCENCIA, LA INVESTIGACIÓN Y LA TRANSFERENCIA DEL CONOCIMIENTO, EN DOS CATEGORÍAS.,PREMIS EN EL MARC DE LA INCLUSIÓ, LA VISIBILITAT, MILLORA DE LA QUALITAT DE VIDA I DRETS DE LES PERSONES AMB DISCAPACITAT PER A INCLOURE AQUESTA PERSPECTIVA A TRAVÉS DE LA DOCÈNCIA, LA INVESTIGACIÓ I LA TRANSFERÈNCIA DEL CONEIXEMENT, EN DUES CATEGORIES.
839573,NO,OTROS,UNIVERSIDAD DE OVIEDO,,12/06/2025,Resolución de la Vicerrectora de Investigación de la Universidad de Oviedo para la contratación de personal investigador y técnico de apoyo, según artículo 23.bis de la Ley 14/2011 de la Ciencia, la Tecnología y la Innovación (Mayo Extra 9 - 2025),
839570,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,12/06/2025,X EDICIÓN DEL PREMIO DE INVESTIGACIÓN DOCTORAL PROFESORA AMPARO ESTEPA DE 2025 (código línea de subvención: 77-422-4-2025-0149-S),X EDICIÓ DEL PREMI DINVESTIGACIÓ DOCTORAL PROFESSORA AMPARO ESTEPA DE 2025 (codi de línia de subvenció 77-422-4-2025-0149-S)
839542,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,12/06/2025,XV BECA MORDIDA DE PRODUCCIÓN DE OBRA GRÁFICA PARA EL ESTUDIANTADO Y EL ESTUDIANTADO EGRESADO DE LA FACULTAD DE BELLAS ARTES DE ALTEA (código línea de subvención: 10-423-4-2025-0069-S),XV BECA MORDIDA DE PRODUCCIÓ DOBRA GRÀFICA PER A LESTUDIANTAT I LESTUDIANTAT TITULAT DE LA FACULTAT DE BELLES ARTS DALTEA (codi línia de subvenció: 10-423-4-2025-0069-S)
839516,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,12/06/2025,Convocatoria del Premio de la Universidad de Alcalá al mejor Proyecto Europeo de Investigación 2025,
839509,NO,OTROS,CÁMARA DE COMERCIO DE LA CORUÑA,,12/06/2025,Convocatoria Programa Pyme Digital 2025 - Cámara Comercio A Coruña,
839502,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,12/06/2025,Sol·licitud de convocatòria de beques, ajudes i premis,
839493,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,12/06/2025,XII Edición CONCURSO 5U CV STARTUP 2025,
839492,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,12/06/2025,V Edición premios CONCURSO GENNERA UPV 2025,
839397,NO,OTROS,UNIVERSIDAD DE SALAMANCA,,11/06/2025,Convocatoria de becas Erasmus para el Máster La Enseñanza del Español como Lengua Extranjera, curso 2025/2026.,
839387,NO,OTROS,UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA,,11/06/2025,CONVOCATORIA DEL  PREMIO UNIA A LA EXCELENCIA DOCENTE DEL PROFESORADO, CURSO 2024/2025,
839386,NO,OTROS,CÁMARA DE COMERCIO DE GRAN CANARIA,,11/06/2025,Convocatoria Programa Pyme Global 2025, Misión comercial a Cabo Verde, que tendrá lugar en el marco de la Feria Internacional de Cabo Verde del 17 al 22 de noviembre del 2025 en Cabo Verde, para empresas de Gran Canaria,
839374,NO,OTROS,UNIVERSIDAD DE LA LAGUNA,,11/06/2025,Convocatoria de ayudas de Bolsas de Viaje para alumnado de Máster de la Universidad de La Laguna para el año 2025.,
839367,NO,OTROS,CÁMARA DE COMERCIO DE GRAN CANARIA,,11/06/2025,Convocatoria Programa Pyme Global 2025, Misión comercial a Senegal, que tendrá lugar del 27 de octubre al 1 de noviembre del 2025 en Senegal, para empresas de Gran Canaria,
839320,NO,OTROS,UNIVERSIDAD COMPLUTENSE DE MADRID,,11/06/2025,Resolución de 6 de junio de 2025, del Vicerrectorado de Estudiantes de la UCM, por la que se convoca concesión de premios para trabajos fin de grado, fin de máster y tesis doctoral sobre cuestiones relativas al marco de la misión europea de ciudades climá,
839301,NO,OTROS,UNIVERSIDAD DE GRANADA,,11/06/2025,PREMIOS UGR-DIPUTACIÓN IMPRONTA GRANADA A LOS MEJORES TRABAJOS DE INVESTIGACIÓN (TFG, TFM Y TESIS DOCTORALES) QUE ABORDEN LOS DESAFÍOS URBANOS Y TERRITORIALES DE GRANADA: PROGRAMA 54 DEL PLAN PROPIO DE INVESTIGACIÓN Y TRANSFERENCIA DE LA UGR 2024.,
839288,NO,OTROS,UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA,,11/06/2025,CONVOCATORIA  BECAS TALENTO eliA  FACULTAD DE CIENCIAS ECONÓMICAS DE LA UNIVERSIDAD NACIONAL DE CÓRDOBA (ARGENTINA), PARA CURSAR EL MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL CURSO 2025-26,
839233,NO,OTROS,UNIVERSIDAD COMPLUTENSE DE MADRID,,11/06/2025,Resolución de 27 de mayo, del Rector por la que se convoca el V Certamen Complutense de Fotografía Naturalista 2025 FotografiArte UCM para apoyar la creación artística en formato fotografía naturalista de la comunidad universitaria.,
839210,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,11/06/2025,Convocatoria del programa de movilidad Erasmus+ para movilidades físicas de corta duración de estudiantes en Programas Intensivos Combinados (BIP). Proyecto 2024,Convocatòria del programa de mobilitat Erasmus+ per a mobilitats físiques de curta durada destudiants en Programes Intensius Combinats (BIP). Projecte 2024
839209,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,11/06/2025,XI Premios IIAMA a la mejor Tesis Doctoral y al mejor Trabajo Académico en Ingeniería del Agua,XI  Convocatoria Premis IIAMA
839205,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,11/06/2025,Convocatoria de Ayudas de Iniciación en la Actividad Investigadora 2025,
839204,NO,OTROS,CÁMARA DE COMERCIO DE TUI,,11/06/2025,Convocatoria Programa Pyme Global 2025- Participación en Visita a la Feria Marmomac de Verona 2025, para empresas de Galicia, Cámara Oficial de Comercio de Tui,
839203,NO,OTROS,UNIVERSIDAD DE LA LAGUNA,,11/06/2025,Premios culturales 2025 de la Universidad de La Laguna,
839186,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,11/06/2025,Convocatoria de Becas de Introducción a la Investigación 2025,
839135,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,11/06/2025,Convocatoria de Premios a la Excelencia Investigadora UAH 2025,
839117,NO,OTROS,UNIVERSIDAD DE ALCALÁ,,11/06/2025,Convocatoria de Premios para Jóvenes Investigadores de la Universidad de Alcalá 2025,
839043,NO,OTROS,UNIVERSIDAD DE SALAMANCA,,10/06/2025,CONVOCATORIA DE 10 BECAS PARA ESTUDIANTES DE GRADO EN MEDICINA DE LA UNIVERSIDAD DE SALAMANCA PARA REALIZACIÓN DE PRÁCTICAS ACADÉMICAS DEL PROGRAMA PRÁCTICAS ACADÉMICAS EXTERNAS DE MEDICINA EN EL MEDIO RURAL. CURSO 2024-25.,
839006,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,10/06/2025,Convocatoria de ayudas económicas para Personal Investigador Predoctoral 2025, dentro del Programa Becas Santander,
838952,NO,OTROS,UNIVERSIDAD DE GRANADA,,10/06/2025,RESOLUCIÓN DEL DECANO DE LA FACULTAD DE CIENCIAS SOCIALES Y JURÍDICAS DE MELILLA, POR LA QUE SE PUBLICAN LAS BBRR Y SE CONVOCAN AYUDAS PARA FOMENTAR LA ASISTENCIA AL V FORO INTERNACIONAL DE TURISMO CIUDAD DE MELILLA,
838941,NO,OTROS,CÁMARA DE COMERCIO DE CÓRDOBA,,10/06/2025,Convocatoria Programa Pyme Global 2025 - Visita a la feria VICENZAORO 2025 SEGUNDA EDICIÓN (Vicenza) para empresas de la provincia de Córdoba,
838898,NO,OTROS,UNIVERSIDAD DE GRANADA,,10/06/2025,CONVENIO DE COLABORACIÓN DE 11/03/2025 CON FUNDACIÓN BAOBAB PARA COLABORAR EN EL FUNCIONAMIENTO DEL CENTRO DE APOYO A LA COOPERACIÓN INTERUNIVERSITARIA DE LA UNIVERSIDAD DE LOMÉ (TOGO),
838897,NO,OTROS,CÁMARA DE COMERCIO DE MÁLAGA,,10/06/2025,Segunda convocatoria Programa Xpande Digital 2025 - Cámara Málaga,
838890,NO,OTROS,UNIVERSIDAD DE LA LAGUNA,,10/06/2025,Convocatoria de becas Santander de movilidad internacional Incoming durante el curso 2025-2026,
838842,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,10/06/2025,Beca de iniciación a la investigación (Proyecto «NUEVAS AYUDAS COMPLEMENTARIAS A LOS PROYECTOS DE INVESTIGACIÓN CAPTADOS POR EL PERSONAL INVESTIGADOR DE LA UNIVERSITAT JAUME I DENTRO DEL PEICTI» (Beca 2)  Código 24I630  Dirigido por: Inma,
838829,NO,OTROS,CÁMARA DE COMERCIO DE BADAJOZ,,10/06/2025,Convocatoria de ayudas económicas destinadas al fomento del empleo para mayores de 45 años 2025. Cámara Badajoz.,
838816,NO,OTROS,CÁMARA DE COMERCIO DE BADAJOZ,,10/06/2025,Convocatoria de ayudas económicas destinadas al fomento del empleo Talento Joven 2025. Cámara de Comercio de Badajoz.,
838761,NO,OTROS,CÁMARA DE COMERCIO DE HUELVA,,10/06/2025,Convocatoria Programa Pyme Cibersegura 2025 - Cámara Huelva,
838723,NO,OTROS,UNIVERSIDAD DE LEÓN,,09/06/2025,Convocatoria 2025/2026 de plazas y ayudas del Programa AMICUS Acción para la movilidad internacional por convenio con universidades socias,
838721,NO,OTROS,CÁMARA DE COMERCIO DE CIUDAD REAL,,09/06/2025,Misión Comercial Directa a Angola, Sudáfrica y Mozambique del 14 al 25 de julio de 2025,
838658,NO,OTROS,UNIVERSIDAD DE SALAMANCA,,09/06/2025,Resolución de 9 de junio de 2025 del Vicerrectorado de Estudiantes, Inclusión, Igualdad y Compromiso Social, por la que se convocan becas de colaboración en servicios universitarios durante el curso académico 2025/2026, Anexo 2.,
838654,NO,OTROS,UNIVERSIDAD DE SALAMANCA,,09/06/2025,Resolución de 9 de junio de 2025, del Vicerrectorado de Estudiantes, Inclusión, Igualdad y Compromiso Social por la que se convocan becas de colaboración en servicios universitarios durante el curso académico 2025/2026, Anexo 1.,
