Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
200820083732011D,NO,ANDALUCÍA,SECRETARÍA GENERAL DE ORDENACIÓN DEL TERRITORIO Y SOSTENIBILIDAD URBANA,,17/10/2012,ORDEN DE 8 DE JULIO DE 2008,
2006200335002,NO,CASTILLA-LA MANCHA,DIRECCIÓN GENERAL DE INDUSTRIAS AGROALIMENTARIAS Y COOPERATIVAS,,15/08/2012,PAGOS DIRECTOS FEOGA-GARANTIA,
2006200218260K,NO,CASTILLA-LA MANCHA,DIRECCIÓN GENERAL DE DESARROLLO RURAL,,15/08/2012,Orden 13-03-2002, por la que se desarrolla el Decreto 215/01, y se establece unas ayudas para subvencionar asistencias técnicas,
201220098193P,NO,COMUNIDAD DE MADRID,CONSEJERÍA ECONOMÍA, HACIENDA Y EMPLEO,,22/06/2012,ORDEN 345/2009, DE 13 DE FEBRERO- Subv.Fom.Empl.Pers.Disc. M.Ord.Trab.2012,
201120112349521,NO,ILLES BALEARS,SERVICIO DE OCUPACIÓN DE LAS ISLAS BALEARES (SOIB),,06/01/2012,AJUTS PER A TRANSPORT, MANUTENCIÓ I ALLOTJAMENT,
