Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
543190,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE ALIMENTACIÓN,31/12/2020,Convocatoria del Premio Alimentos de España, año 2020,
542792,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS,30/12/2020,Resolución de la Secretaría de Estado de Energía por la que se aprueba la convocatoria para la concesión de ayudas en 2021 a la prevención de riesgos y seguridad minera en el ámbito de una minería autóctona y sostenible,
542445,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,SECRETARÍA DE ESTADO PARA LA UNIÓN EUROPEA,29/12/2020,Convocatoria instrumental para la concesión directa de una subvención al Consejo Federal Español del Movimiento Europeo (CFEME) regulada mediante Real Decreto 1048/2020, de 1 de diciembre de 2020,
542209,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,29/12/2020,CONVENIO ENTRE EL MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA Y LA OFICINA REGIONAL PARA AMERICA LATINA Y EL CARIBE DEL PROGRAMA DE LAS NACIONES UNIDAS PARA LOS ASENTAMIENTOS HUMANOS (ROLAC). AÑO 2020,
541990,SI,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,28/12/2020,Resolución de 23 de diciembre de 2020 de la Presidencia del CDTI E.P.E., por la que se aprueba la convocatoria para el año 2020 del procedimiento de acreditación y concesión de ayudas destinadas a Centros Tecnológicos de Excelencia Cervera.,
541969,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,28/12/2020,Subvención para la contratación de Agentes de Empleo y Desarrollo Local,
541831,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2020,Convocatoria Instrumental Jordania 2020 Gobernanibilidad Municipio Sarhan,
541830,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2020,Convocatoria Instrumental Ecuador 2019 Agricultura Lunita Lunera,
541829,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2020,Convocatoria Instrumental Marruecos 2020 Gobernabilidad Ministerio Justicia Reforma Justicia,
541776,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,24/12/2020,Resolución de la Secretaría de Estado de Educación por la que se convocan plazas de asistencia a eventos de formación dentro del marco de la acción eTwinning para el año 2021,
541729,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,23/12/2020,Resolución de 17 de diciembre de 2020 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca concesión de ayudas para Participación Agrupada en PREMIERE VISION DIGITAL SHOW 2021 - 15 al 19 de febrero 2021,
541728,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,23/12/2020,Resolución de 17 de diciembre de 2020 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca concesión de ayudas para Participación Agrupada en VIRTUAL APLF 2021 - 20 de enero al 4 de febrero 2021,
541727,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,23/12/2020,Resolución de 17 de diciembre de 2020 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca concesión de ayudas para Participación Agrupada en PREMIÈRE VISION DIGITAL 2021-I - 15 al 19 de febrero 2021,
541726,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,23/12/2020,ADENDA-Resolución de 17 de diciembre de 2020 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca concesión de ayudas para Participación Agrupada en MICAM Milano Digital Show 2021 - 8 marzo al 8 mayo 2021,
