Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,604257,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",02/01/2022,NO,,"Resolución de 29 de diciembre de 2021,de la Secretaria de Estado de Educación por la que se convocan cursos tutorizados en línea para la formación del profesorado de niveles no universitarios y del curso sobre el desarrollo de la Función Directiva.2022.",DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL
ESTADO,604359,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2022,NO,,concesión directa de subvenciones destinadas a la cofinanciación de la contratación de agentes locales de innovación en ayuntamientos de las ciudades miembros de la Red Innpulso,SECRETARÍA GENERAL DE INNOVACIÓN
ESTADO,604371,"MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030",03/01/2022,NO,,"Concesión directa de subvenciones a los ayuntamientos de Madrid y de Rivas-Vaciamadrid para la realización de programas de realojo para familias en situación de vulnerabilidad social extrema en los sectores cuatro, cinco y seis de la Cañada Real Galiana",DIRECCIÓN GENERAL DE AGENDA 2030
ESTADO,604407,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",04/01/2022,NO,,"Resolución de la Secretaría de Estado de Educación, por la que se convocan plazas para la realización de cursos Aula del Futuro para la formación permanente del profesorado que ejerce en niveles educativos distintos al universitario. Año 2022",DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL
ESTADO,604543,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",04/01/2022,NO,,"Resolución de la Dirección del Instituto de Salud Carlos III, O.A., M.P., por la que se aprueba la financiación para prorrogar determinados contratos de las convocatorias correspondientes a los Subprogramas Estatales de Formación e Incorporación de los añ",INSTITUTO DE SALUD CARLOS III (ISCIII)
ESTADO,604549,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,04/01/2022,NO,,Subvenciones a las entidades locales por servicios de transporte colectivo urbano 2021,DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA
ESTADO,604653,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,05/01/2022,NO,,OPEA ANTICIPADA 2022,DIRECCIÓN PROVINCIAL DEL SEPE DE CEUTA
ESTADO,604661,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,05/01/2022,NO,,Programa de escuelas y talleres de empleo,DIRECCIÓN PROVINCIAL DEL SEPE DE CEUTA
ESTADO,604980,MINISTERIO DE CULTURA,10/01/2022,NO,,Subvención de concesión directa por Real Decreto 969/2021 al Consorcio de Bibliotecas de Barcelona,"DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA"
ESTADO,605034,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,10/01/2022,NO,,SUBVENCION A LA AUTORIDAD DEL TRANSPORTE METROPOLITANO DE BARCELONA PARA LA FINANCIACIÓN DEL TRANSPORTE REGULAR DE VIAJEROS,DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA
ESTADO,605056,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,10/01/2022,NO,,SUBVENCION A LA COMUNIDAD AUTONOMA DE CANARIAS PARA FINANCIACION NECESIDADES CORRESPONDIENTES AL TRANSPORTE REGULAR DE VIAJEROS DE LAS DISTINTAS ISLAS CANARIAS,DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA
ESTADO,605069,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,10/01/2022,NO,,"SUBVENCION AL CONSORCIO REGIONAL DE TRANSPORTES DE MADRID, PARA LA FINANCIACIÓN DEL TRANSPORTE REGULAR DE VIAJEROS",DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA
ESTADO,605085,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,10/01/2022,NO,,"SUBVENCION A LA AUTORIDAD DEL TRANSPORTE METROPOLITANO DE VALENCIA, PARA LA FINANCIACIÓN DEL TRANSPORTE REGULAR DE VIAJEROS",DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA
ESTADO,605090,MINISTERIO DE HACIENDA,10/01/2022,NO,,"Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca al Ayuntamiento de Cuenca para garantizar las obligaciones financieras derivadas de la firma de un convenio, a suscribir entre la Consejería de Fomento de la Junta de Comunidades",CONSORCIO DE LA CIUDAD DE CUENCA
ESTADO,605207,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",11/01/2022,NO,,Concesión de ayudas dirigidas a la realización de un curso de chino mandarín en Universidades de Pekín.,FUNDACIÓN ICO
ESTADO,605230,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,11/01/2022,NO,,Reequilibrio económico de los contratos de gestión de servicios públicos de transporte regular de viajeros por carretera de uso general para paliar las consecuencias del COVID-19.,DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA
ESTADO,605241,MINISTERIO DE HACIENDA,11/01/2022,NO,,TRANSFERENCIA CORRIENTE A LA HERMANDAD DE JUBILADOS DEL MINISTERIO DE ECONOMÍA Y HACIENDA,SUBSECRETARÍA DE HACIENDA
ESTADO,605593,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,12/01/2022,SI,,"Real Decreto 1040/2021, subvención a centros de investigación y universidades para proyectos innovadores en el despliegue de las tecnologías 5G avanzado y 6G, en el marco del Plan de Recuperación, Transformación y Resiliencia",SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES
