Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ANDALUCÍA,300685,D. G. DE COMUNICACIÓN SOCIAL,20/01/2016,NO,,ORDEN DE 6 DE JUNIO DE 2013 modificada ORDEN De 16 OCTUBRE DE 2014 mejora alfabetización mediática (convocatoria 2016),
ANDALUCÍA,300688,D. G. DE DESARROLLO SOSTENIBLE DEL MEDIO RURAL,20/01/2016,NO,,Orden de 19 de Enero de 2016 por la que se regula y convoca el procedimiento de selección de los Grupos de Desarrollo Rural Candidatos para la elaboración de las Estrategias de Desarrollo Local en la Comunidad Autónoma de Andalucía para el período 2014-20,
ANDALUCÍA,300690,SECRETARÍA GENERAL TÉCNICA (PRESIDENCIA Y ADMINISTRACIÓN LOCAL),20/01/2016,NO,,"Orden de 1 de diciembre de 2015, Convocan para 2016 subvenciones para la promoción de los valores e identidad andaluces, así como la proyección de la imagen de Andalucía .",
ANDALUCÍA,300697,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",20/01/2016,NO,,"Resolución de 16 de julio de 2015, de la Secretaría General de Universidades, por la que se convocan año 2015 curso 2014-15 ayudas idiomas",
ANDALUCÍA,300736,SECRETARÍA GENERAL DE FONDOS EUROPEOS AGRARIOS,26/01/2016,NO,,"Resolución de 25 de enero de 2016, de la DGADM, se disponen para año 2016 las ayudas que se incluyen en solicitud única al amparo RD 1075/2014, de 29 de diciembre",
CASTILLA Y LEÓN,300714,DIRECCIÓN GENERAL DE PRODUCCIÓN AGROPECUARIA Y DESARROLLO RURAL,21/01/2016,NO,,"ORDEN AYG/1154/2015, de 23 de noviembre, por la que se regulan y convocan las ayudas para la realización de inversiones destinadas a la mejora de la gestión de purines generados en las explotaciones porcinas de Castilla y León.",
CASTILLA Y LEÓN,300792,DIRECCIÓN GENERAL DE LA INDUSTRIA Y LA CADENA AGROALIMENTARIAS,28/01/2016,NO,,"ORDEN DE 20 DE ENERO DE 2016, DE LA CONSEJERÍA DE AGRICULTURA Y GANADERÍA , POR LA QUE SE CONVOCA LA AYUDA AL SUMINISTRO DE LECHE Y DETERMINADOS PRODUCTOS LÁCTEOS A LOS ALUMNOS DE CENTROS ESCOLARES EN LA COMUNIDAD DE CYL, PARA EL CURSO ESCOLAR 2015/2016.",
CASTILLA Y LEÓN,300842,DIRECCIÓN GENERAL DE LA INDUSTRIA Y LA CADENA AGROALIMENTARIAS,29/01/2016,NO,,Ayudas para programas de promoción de productos vitivinícolas en mercados de terceros países.,
CASTILLA-LA MANCHA,300719,INSTITUTO DE PROMOCIÓN EXTERIOR DE CASTILLA-LA MANCHA,22/01/2016,NO,,Convocatoria de concesión de subvenciones para la participación en la Feria Salon de Fromages et Des Produits Laitiers-Stand Informativo-,
CASTILLA-LA MANCHA,300723,"SECRETARÍA GENERAL DE ECONOMÍA, EMPRESAS Y EMPLEO",25/01/2016,NO,,Subvenciones para el fomento de la inversión y la mejora de la productividad empresarial en Castilla-La Mancha,
CASTILLA-LA MANCHA,300725,INSTITUTO DE PROMOCIÓN EXTERIOR DE CASTILLA-LA MANCHA,25/01/2016,NO,,Convocatoria de concesión de subvenciones para la participación en la Feria GDS I DUSSELDORF 2016,
