Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ILLES BALEARS,201120112349521,SERVICIO DE OCUPACIÓN DE LAS ISLAS BALEARES (SOIB),06/01/2012,NO,,"AJUTS PER A TRANSPORT, MANUTENCIÓ I ALLOTJAMENT",
COMUNIDAD DE MADRID,201220098193P,"CONSEJERÍA ECONOMÍA, HACIENDA Y EMPLEO",22/06/2012,NO,,"ORDEN 345/2009, DE 13 DE FEBRERO- Subv.Fom.Empl.Pers.Disc. M.Ord.Trab.2012",
CASTILLA-LA MANCHA,2006200218260K,DIRECCIÓN GENERAL DE DESARROLLO RURAL,15/08/2012,NO,,"Orden 13-03-2002, por la que se desarrolla el Decreto 215/01, y se establece unas ayudas para subvencionar asistencias técnicas",
CASTILLA-LA MANCHA,2006200335002,DIRECCIÓN GENERAL DE INDUSTRIAS AGROALIMENTARIAS Y COOPERATIVAS,15/08/2012,NO,,PAGOS DIRECTOS FEOGA-GARANTIA,
ANDALUCÍA,200820083732011D,SECRETARÍA GENERAL DE ORDENACIÓN DEL TERRITORIO Y SOSTENIBILIDAD URBANA,17/10/2012,NO,,ORDEN DE 8 DE JULIO DE 2008,
