Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ANDALUCÍA,543365,"CONSEJERÍA DE JUSTICIA, ADMINISTRACIÓN LOCAL Y FUNCIÓN PÚBLICA",04/01/2021,NO,,"Subvención Nominativa 2020, Universidad de Jaén,para llevar a cabo un programa de actuaciones para investigación y estudio en materia turística",
ANDALUCÍA,543366,PATRONATO DE LA ALHAMBRA Y EL GENERALIFE,04/01/2021,NO,,"Subvención Nominativa 2020,Ayuntamiento de Granada para ejecución del proyecto Paseo de Romayla",
ANDALUCÍA,543367,PATRONATO DE LA ALHAMBRA Y EL GENERALIFE,04/01/2021,NO,,"Subvención Excepcional 2020, a la Universidad de Granada para máster universitario en rehabilitación arquitectónica edición 2019-2020",
ANDALUCÍA,543368,PATRONATO DE LA ALHAMBRA Y EL GENERALIFE,04/01/2021,NO,,"Subvención Excepcional, Universidad de Granada para gastos corrientes máster ciencia y tecnología 2019-2020",
ANDALUCÍA,543371,"CONSEJERÍA DE JUSTICIA, ADMINISTRACIÓN LOCAL Y FUNCIÓN PÚBLICA",04/01/2021,NO,,"Subvención Excepcional , de imposición legal, Plan turistico de Grandes Ciudades de Andalucía de la Ciudad de Jaén",
ANDALUCÍA,543372,PATRONATO DE LA ALHAMBRA Y EL GENERALIFE,04/01/2021,NO,,"Subvención Nominativa 2020, Universidad de Granada para la recuperación arqueológica del Albercón del Moro,  el Templete y su entorno",
ANDALUCÍA,543373,"CONSEJERÍA DE JUSTICIA, ADMINISTRACIÓN LOCAL Y FUNCIÓN PÚBLICA",04/01/2021,NO,,"Subvención Nominativa, Consejo Andaluz Colegio de Abogados 2020",
ANDALUCÍA,543374,"CONSEJERÍA DE EMPLEO, EMPRESA Y TRABAJO AUTÓNOMO",05/01/2021,NO,,"Subvención Nominativa 2020 a UGT-Andalucía articulada por convenio, para la financiación de actividades que redunden en la mejora de las relaciones laborales y en la defensa y promoción de los intereses de los trabajadores",
ANDALUCÍA,543811,"CONSEJERÍA DE AGRICULTURA, PESCA, AGUA Y DESARROLLO RURAL",11/01/2021,NO,,"Orden de 23 de diciembre de 2020, por la que se convoca para 2021 subvenciones a la Medida 13: Pagos a zonas con limitaciones naturales u otras específicas, incluidas en el PDRA 2014-20.",
ANDALUCÍA,544198,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",13/01/2021,NO,,"Subvención Excesional a la Federación de Bancos de Alimentos de Andalucía, Ceuta y Melilla para provisión y reparto de alimentos a personas en situación de vulnerabilidad ocasionada por el COVID-19",
ANDALUCÍA,544674,CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL,14/01/2021,NO,,"Subvención Excepcional 2020,CETD Federación Andaluza de Deportes de Invierno",
ANDALUCÍA,544675,CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL,14/01/2021,NO,,"Subvención Excepcional 2020, CETD Federación Andaluza de Gimnasia",
ANDALUCÍA,544676,CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL,14/01/2021,NO,,"Subvención Excepcional 2020,CETD Federación Andaluza de Natación.",
ANDALUCÍA,544678,CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL,14/01/2021,NO,,"Subvención Excepcional 2020, CETD Federación Andaluza de Tenis para la financiación de los gastos relativos al Centro Especializado de Tecnificación Deportiva de Tenis de Blas Infante de Sevilla",
ANDALUCÍA,544921,"CONSEJERÍA DE JUSTICIA, ADMINISTRACIÓN LOCAL Y FUNCIÓN PÚBLICA",18/01/2021,NO,,"Subvención Excepcional 2020, Universidades Andaluzas Red Cátedras Turismo",
ANDALUCÍA,544922,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",18/01/2021,NO,,"Subvención Excepcional 2020, Cáritas Gegional de Andalucía para la realización de un prog. extraord. de ayuda en materia de necesidades básicas a la población en situación de vulnerabilidad y/o exclusión social por el COVID-19",
ANDALUCÍA,544923,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",18/01/2021,NO,,"Subvención Excepcional 2020, Cruz Roja Española para ampliación del programa extraordinario de ayuda en materia de necesidades básicas a la población en situación de vulnerabilidad por el COVID-19",
ANDALUCÍA,544924,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",18/01/2021,NO,,"Subvención Excepcional 2020,Red And.de lucha contra la pobreza y la exclusión social para la realización de un programa extraordinario de atención ambulatoria y residencial a personas sin hogar",
ANDALUCÍA,545114,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",19/01/2021,NO,ANULADA,"ANULADA Resolución de 18 de enero de 2021 de S.G. de Universidades, Investigación y Tecnología, Convocatoria 2021 de la Línea 2, contratación personal investigador Doctor por parte de las Univers. y entidades públicas de investigación del Sistema And.del Conoc.",
ANDALUCÍA,545431,SERVICIO ANDALUZ DE EMPLEO,20/01/2021,NO,,"Resolución de 19 de enero de 2021,CONV.2021,DGSAE L.1- Incentivos destinados a financiar la inversión en inmovilizado realizada para la creación de puestos de trabajo ocupados por personas en situación de exclusión social",
ANDALUCÍA,545432,SERVICIO ANDALUZ DE EMPLEO,20/01/2021,NO,,"Resolución de 19 de enero de 2021,CONV.2021, DGSAE L.2- Incentivos a la contratación y/o mantenimiento de puestos de trabajo ocupados por personas en situación de exclusión social",
ANDALUCÍA,545434,SERVICIO ANDALUZ DE EMPLEO,20/01/2021,NO,,"Resolución de 19 de enero de 2021,CONV.2021, DGSAE L.3 - Incentivos a la contratación y/o mantenimiento puestos de trabajo ocupados por personal técnico en acciones de tutoría y acompañamiento a la inserción sociolaboral",
ANDALUCÍA,545435,SERVICIO ANDALUZ DE EMPLEO,20/01/2021,NO,,"Resolución de 19 de enero de 2021, CONV.2021, DGSAE L.4 - Iincentivos a la inserción laboral de personas en situación de exclusión social en el mercado laboral normalizado",
ANDALUCÍA,545436,SERVICIO ANDALUZ DE EMPLEO,20/01/2021,NO,,"Resolución de 19 de enero de 2021,CONV.2021, DGSAE L.5 - Incentivos para la contratación de asistencia técnica, que facilite la viabilidad de las Empresas de Inserción.",
ANDALUCÍA,546223,AGENCIA ANDALUZA DE INSTITUCIONES CULTURALES,26/01/2021,NO,,Resolución de 27 de marzo de 2012 de la Ahgencia Andaluza de Instituciones Culturales por la que se convocan para 2012 las subvenciones para la promoción de festivales flamencos de pequeño y mediano formato,
