Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
OTROS,806711,CÁMARA DE COMERCIO DE CÁCERES,02/01/2025,NO,,Visita a la feria Fruit Logística de Berlín (Alemania) - Programa PYME GLOBAL 2025,
OTROS,806972,CÁMARA DE COMERCIO DE LEÓN,03/01/2025,NO,,VISITA A LA FERIA FOODEX (Tokio 11-14 de marzo de 2025),
OTROS,807086,UNIVERSIDAD DE CÁDIZ,05/01/2025,NO,,"Convocatoria de becas, ayudas al estudio y premios a la excelencia académica de la Universidad de Cádiz correspondientes al curso 2024-2025",
OTROS,807166,UNIVERSIDAD DE LA RIOJA,07/01/2025,NO,,Convocatoria el proceso selectivo para la contratación como personal indefinido de un técnico con cargo a financiación externa de carácter finalista del Proyecto de referencia PID2020-113658RB-C21,
OTROS,807221,UNIVERSIDAD DE VIGO,07/01/2025,NO,RESOLUCIÓN REITORAL POLA QUE SE CONVOCAN AXUDAS AO ESTUDO PROPIAS DA UNIVERSIDADE DE VIGO NO CURSO 2024/2025,RESOLUCIÓN RECTORAL POR LA QUE SE CONVOCAN AYUDAS AL ESTUDIO PROPIAS DE LA UNIVERSIDAD DE VIGO EN EL CURSO 2024/2025,
OTROS,807243,UNIVERSIDAD DE LA RIOJA,07/01/2025,NO,,Convocatoria del proceso selectivo para la contratación como personal indefinido de un técnico con cargo a financiación externa de carácter finalista del Proyecto de referencia ADER 2022-I-IDI-00061,
OTROS,807254,UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA,07/01/2025,NO,,"RESOLUCIÓN RECTORAL 297/2024 DE LA UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA POR LA QUE SE HACE PÚBLICA LA CONVOCATORIA, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA, DE AYUDAS A LA MOVILIDAD EN EL MARCODEL PROGRAMA ERASMUS+ PARA REALIZAR PRÁCTICAS CURSO 24/25",
OTROS,807258,UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA,07/01/2025,NO,,"RESOLUCIÓN RECTORAL 295/2024 DE LA UNIVERSIDAD INTERNACIONAL DE ANDALUCÍA POR LA QUE SE HACE PÚBLICA LA CONVOCATORIA, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA, DE AYUDAS A LA MOVILIDAD EN EL MARCODEL PROGRAMA ERASMUS+ PARA ESTANCIAS INTERNACIONALES 2024/25",
OTROS,807383,CÁMARA DE COMERCIO DE MADRID,07/01/2025,NO,,Convocatoria programa de ayudas a empresas madrileñas para la contratación de la tercera edición de técnicos de comercio exterior de la Comunidad de Madrid,
OTROS,807430,CÁMARA DE COMERCIO DE ALMERÍA,08/01/2025,NO,,Convocatoria Pyme Global 2025 VISITA FERIA FRUIT LOGISTICA BERLÍN (ALEMANIA) 2025 para empresas de Almería,
