Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,490232,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,02/01/2020,NO,,"Convenio entre el MITECO y la FEMP de concesión de una subvención nominativamente prevista en los PGE  del año 2018, prorrogados para 2019, para financiación de actuaciones dirigidas a promover y facilitar el desarrollo de iniciativas locales en materia d",OFICINA ESPAÑOLA DEL CAMBIO CLIMÁTICO
ESTADO,490684,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,08/01/2020,NO,,"Ttes. 2018 Real Decreto 170/2009, de 13 de febrero, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490704,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,08/01/2020,NO,,"Ttes 2018 Real Decreto 147/2019, de 15 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el Anexo I del Tratado de Funcionamiento de la Unión Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490811,"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES",08/01/2020,NO,,DGIAH-SGPPI Protección Internacional 2020-2021. Cofinanciado con FAMI,DIRECCIÓN GENERAL DE GESTIÓN DEL SISTEMA DE ACOGIDA DE PROTECCIÓN INTERNACIONAL Y TEMPORAL
ESTADO,490919,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,09/01/2020,NO,,"Recurso de reposición Ttes 2017 Real Decreto 170/2009, de 13 de febrero, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490921,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,09/01/2020,NO,,"Recurso de reposición Ttes 2017 Real Decreto 170/2009, de 13 de febrero, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490922,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,09/01/2020,NO,,"Recurso reposición Ttes 2017  Real Decreto 362/2009, de 20 de marzo, sobre compensación al  transporte marítimo y aéreo de mercancías no incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490923,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,09/01/2020,NO,,"Recurso reposición Ttes 2017. Real Decreto 362/2009, de 20 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490925,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,09/01/2020,NO,,"Recurso Contencioso-Administrativo Ttes 2017 RD362/09, de 20 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490927,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,09/01/2020,NO,,"Recurso Contencioso Administrativo Ttes 2016 RD 170/09, de 13 de febrero, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,490950,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,09/01/2020,NO,,CONCESION DIRECTA SUBVENCION ENTRE EL ORGANISMO AUTÓNOMO PARQUES NACIONALES Y SEO/BIRDLIFE PARA EL FOMENTO DE LA PARTICIPACIÓN EN EL CONSEJO DE LA RED DE PARQUES NACIONALES,ORGANISMO AUTÓNOMO PARQUES NACIONALES
ESTADO,490951,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,09/01/2020,NO,,CONCESIÓN DE UNA SUBVENCIÓN PUBLICA PREVISTA NOMINATIVAMENTE EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA EL AÑO 2019 PARA EL FOMENTO DE LA PARTICIPACIÓN Y FORTALECIMIENTO,ORGANISMO AUTÓNOMO PARQUES NACIONALES
ESTADO,490952,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,09/01/2020,NO,,CONCESION DIRECTA SUBVENCION  ENTRE EL ORGANISMO AUTÓNOMO PARQUES NACIONALES Y WWF-ADENA  PARA EL AÑO 2019 PARA FOMENTAR SU PARTICIPACION EN EL CONSEJO DE LA RED DE PP.NN.,ORGANISMO AUTÓNOMO PARQUES NACIONALES
