Administración,Administraci�n,Código BDNS,C�digo BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Mecanismo de Recuperaci�n y Resiliencia,Título cooficial,Título de la convocatoria,T�tulo cooficial,T�tulo de la convocatoria,Órgano,�rgano
ESTADO,,20102010761481,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION DE 30 DE ABRIL DE 2010 DEL CENTRO PARA EL DESARROLLO TECNOLOGICO INDUSTRIAL POR LA QUE SE APRUEBA LA CONVOCATORIA PARA EL AÑO 2010 DE SUBVENCIONES DEL SUBPROGRAMA DE APOYO A LA PARTICIPACION DE EMPRESAS EN PROGRAMAS INTERNACIONALES DE I+D (IN,,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,2010201030648211,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",23/01/2014,NO,,,Subvención nominativa a la Fundación Francisco Giner de los Ríos (Institución Libre de Enseñanza),,,"SUBSECRETARÍA DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",
ESTADO,,20112011635681,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION DE 22 DE MARZO DE 2011 DEL CENTRO PARA EL DESARROLLO TECNOLOGICO INDUSTRIAL POR LA QUE SE APRUEBA LA CONVOCATORIA PARA EL AÑO 2011 DEL PROCEDIMIENTO DE CONCESION DE SUBVENCIONES DEL SUBPROGRAMA DE APOYO A LA PARTICIPACION DE EMPRESAS EN PROGR,,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,20122008515861,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,22/01/2014,NO,,,Formación de oferta de ocupados y desempleados.  Otros gastos,,,DIRECCIÓN PROVINCIAL DEL SEPE DE LA RIOJA,
ESTADO,,201220111658701,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RES 23/SEP/2011 CENTRO DES TEC IND APRUEBA CONVOCATORIA 2012 COM AUT ANDALUCIA CONCESION SUBV DESTINADAS A FOMENTAR LA COOPERACION ESTABLE PUBLICO-PRIVADA (I+D) EN AREAS DE IMPORTANCIA PARA DESARROLLO DE ECONOMIA ESPAÑOLA (PROG FEDER-INNTERCONECTA),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,201220111738501,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RES 17/OCT/2011 CENTRO DES TEC IND APRUEBA CONVOCATORIA 2012 COM AUT GALICIA CONCESION SUBV DESTINADAS A FOMENTAR LA COOPERACION ESTABLE PUBLICO-PRIVADA (I+D) EN AREAS DE IMPORTANCIA PARA DESARROLLO DE ECONOMIA ESPAÑOLA (PROG FEDER-INNTERCONECTA),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,20122012598281,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RESOLUCION DE 20 DE ABRIL DE 2012 DE LA PRESIDENCIA DEL CENTRO PARA EL DESARROLLO TECNOLOGICO INDUSTRIAL POR LA QUE SE APRUEBA LA CONVOCATORIA PARA EL AÑO 2012 DEL PROCEDIMIENTO DE CONCESION DE SUBVENCIONES DEL SUBPROGRAMA DE APOYO A LA PARTICIPACION DE,,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
ESTADO,,201220121188301,,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,18/01/2014,NO,,,"Resolución de 19 de septiembre de 2012, del Instituto para la Reestructuración de la Minería del Carbón y Desarrollo Alternativo de las Comarcas Mineras, por la que se convocan las ayudas a la industria minera del carbón para el ejercicio 2012, correspond",,,"INSTITUTO PARA LA TRANSICIÓN JUSTA, O.A.",
ESTADO,,2012201270912001,,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,30/01/2014,NO,,,APORTACIÓN A LA FUNDACIÓN BARCELONA MOBILE WORLD CAPITAL EN CUMPLIMIENTO DE LA ASIGNACIÓN PREVISTA EN LOS PRESUPUESTOS GENERALES DEL ESTADO PARA 2012,,,SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL,
ESTADO,,201319971373911,,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,23/01/2014,NO,,,Programas de Fomento de empleo Agrario en zonas rurales deprimidas,,,DIRECCIÓN PROVINCIAL DEL SEPE DE ALMERÍA,
