Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,668454,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2023,NO,,"Recurso Contencioso-Administrativo Ttes 2017 RD362/09, de 20 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,668458,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,02/01/2023,NO,,Subvención para la contratación de Agentes de Empleo y Desarrollo Local,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA
ESTADO,668496,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,02/01/2023,SI,,"Real Decreto 978/2022, Subvención concesión directa, convenio entre el SEPE y la Comunidad Autónoma de Cataluña. Adquisición de nuevas competencias para la transformación digital, verde y productiva Financiación de formación (microcréditos) MRR (C23.I3)",SERVICIO PÚBLICO DE EMPLEO ESTATAL
ESTADO,668497,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,02/01/2023,NO,,COVOCATORIA OPEA ANTICIPADA 2023,DIRECCIÓN PROVINCIAL DEL SEPE DE CEUTA
ESTADO,668502,MINISTERIO DEL INTERIOR,02/01/2023,NO,,"concesión de ayuda a 6 integrantes del USGN de Tunez, para asistir a las jornadas de intercambio de tácticas, técnicas y procedimientos antiterroristas, realizada en Logroño, al amparo del R.D. 732/2007 de 8 de junio.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,668517,MINISTERIO DEL INTERIOR,02/01/2023,NO,,"concesión de ayuda a 4 funcionarios policiales de Gambia, Mali, Guinea Bissau y Guinea Conacry, con competencia en control fronteras para asistir a la pasantia vigilancia de fronterasy lucha contra la inmigración irregular, realizada en Gran Canaria.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,668589,MINISTERIO DEL INTERIOR,02/01/2023,NO,,"concesión de ayuda a 4 policias de Gambia para asistir al curso de investigación de trata de seres humanos y tráfico de personas, realizado en Madrid.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,668591,MINISTERIO DEL INTERIOR,02/01/2023,NO,,"Concesión de ayuda a dos guardacostas de Mauritania  para asistir a la pasantía guardacostas, en Madrid, Málaga y Granada.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,668644,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2023,NO,,"Orden de la Ministra de Ciencia e Innovación por la que se concede a la Fund. Centro de Ciencias de Benasque Pedro Pascual la subvención para el Foro Europeo para la Ciencia, la Tecnología y la Innovación, y para financiación de gastos de funcionamiento.",SECRETARÍA GENERAL DE INVESTIGACIÓN
ESTADO,668729,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2023,NO,,"RD 732/2022, Por el que se regula la concesión directa de subvenciones a diversas entidades para el desarrollo de actuaciones que son exponentes de la dimensión social y económica de la ciencia.",SECRETARÍA GENERAL DE INVESTIGACIÓN
ESTADO,668732,MINISTERIO DEL INTERIOR,03/01/2023,NO,,"Concesión de ayuda a 6 altos mandos de las unidades GARSI para asistir a las jornadas de intercambio de tácticas, técnicas y procedimientos, lecciones aprendidas y buenas prácticas GARSI, a realizar en Logroño.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,668758,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2023,NO,,"Extracto de la Orden de 30 de diciembre de 2022 del Ministerio de Universidades, por la que se convocan, por tramitación anticipada, los premios del XXXIV Certamen “Jóvenes Investigadores” de Introducción a la Investigación Científica.",SECRETARÍA GENERAL DE UNIVERSIDADES
ESTADO,668902,MINISTERIO DEL INTERIOR,04/01/2023,NO,,"Concesión de ayuda a 10 oficiales de FFCCS de Gambia, G. Bissau, Mali, Mauritania, Guinea y Senegal para asistir al curso de inmigración irregular a realizar en Sevilla.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,668927,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",04/01/2023,NO,,"Resolución de 30 de diciembre de 2022, de la Secretaría de Estado de Educación, por la que se convocan ayudas para participar en el programa nacional “Centros de Educación Ambiental” durante el año 2023",SECRETARÍA DE ESTADO DE EDUCACIÓN
ESTADO,668951,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",04/01/2023,NO,,Subvención nominativa al Cabildo de Gran Canaria para un proyecto de cooperación humanitaria.,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL
ESTADO,668983,MINISTERIO DEL INTERIOR,04/01/2023,NO,,"conceción de beca a funcionario policial de Senegal, para realizar curso intensiovo de lengua española.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,669050,MINISTERIO DEL INTERIOR,04/01/2023,NO,,"Concesión de ayudas a 12 funcionarios policiales de Mauritania, Marruecos y Senegal, para asistir al curso de investigación de trata seres humanosy tráfico de personas, a realizar en Madrid.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,669066,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",05/01/2023,NO,,SUBVENCIÓN NOMINATIVA PARA PROMOCIONAR LAS CARACTERÍSTICAS DE LA DIETA MEDITERRÁNEA Y LOS PRODUCTOS QUE LA COMPONEN EN EL AÑO 2022,DIRECCIÓN GENERAL DE ALIMENTACIÓN
ESTADO,669106,MINISTERIO DEL INTERIOR,05/01/2023,NO,,"Concesión de ayuda a policias de Marruecos, Mauritania y Senegal para asistir al curso de actualización avanzada para mandos intermedios de policia científica, realizado en Madrid.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,669109,MINISTERIO DEL INTERIOR,05/01/2023,NO,,"concesión de ayuda a 5 policias de Egipto para asistir al curso de técnicas operativas en terrorismo internacional, a realizar en Madrid.",SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL
ESTADO,669126,MINISTERIO DE HACIENDA,05/01/2023,NO,,CONCESIÓN DE SUBVENCIÓN A LA HERMANDAD DE JUBILADOS DEL MINISTERIO DE ECONOMÍA Y HACIENDA,SUBSECRETARÍA DE HACIENDA
ESTADO,669164,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,05/01/2023,NO,,Subvención directa en el ámbito de la transición ecológica para actividades de interés general consideradas de interés social,DIRECCIÓN GENERAL DE SERVICIOS
ESTADO,669195,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",09/01/2023,NO,,"Resolución de 28 de diciembre de 2022 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para países de América Latina, África, Asia 2023-2024",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO
ESTADO,669282,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,09/01/2023,NO,,"Resolu Dirección General ENAIRE se aprueba concesión entrega dineraria sin contraprestación a asociación afectados por el vuelo JK5022,para apoyar desarrollo de actividades carácter internacional asistencia victimas de accidentes de aviación y familiares",ENAIRE
ESTADO,669392,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",10/01/2023,SI,,"RESOLUCIÓN POR LA QUE SE CONVOCA LA SEGUNDA CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES DEL “PROGRAMA INNOVA INVEST” DE ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, E.P.E. EN EL MARCO DEL PLAN DE RECUPERACIÓN, TRANSFORMACIÓN Y RESILIENCIA.","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,669461,MINISTERIO DE INDUSTRIA Y TURISMO,10/01/2023,SI,,"Resolución por la que se convoca la concesión de ayudas dirigidas a impulsar la innovación abierta a través de la iniciativa «Activa Startups», en el marco del Plan de Recuperación, Transformación y Resiliencia","FUNDACIÓN EOI, F.S.P."
ESTADO,669595,MINISTERIO DEL INTERIOR,10/01/2023,NO,,Subvenciones estatales-anuales (financiación ordinara) ejercicio 2023 a partidos políticos.,D.G. DE POLÍTICA INTERIOR
ESTADO,669605,MINISTERIO DEL INTERIOR,10/01/2023,NO,,Subvenciones estatales-anuales (gastos de seguridad) ejercicio 2023 a partidos políticos.,D.G. DE POLÍTICA INTERIOR
ESTADO,669621,MINISTERIO DEL INTERIOR,10/01/2023,NO,,Abono de la liquidación de las subvenciones por gastos electorales EL-19 de 26 de mayo (continuación),D.G. DE POLÍTICA INTERIOR
