Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,737081,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Ttes 2022 Real Decreto 147/2019, de 15 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el Anexo I del Tratado de Funcionamiento de la Unión Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737099,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737101,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737103,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737104,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737107,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737109,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737110,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,02/01/2024,NO,,"Recurso de Reposición Ttes. 2021 Real Decreto 147/2019, de 15 de marzo sobre compensación al transporte marítimo y aéreo de mercancías no incluido en el Anexo I del TFUE, con origen o destino en las Islas Canarias",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,737286,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2024,NO,,A la Fundación César Carlos para sus actividades,SECRETARÍA GENERAL DE UNIVERSIDADES
ESTADO,737339,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2024,NO,,Fundación Euroárabe de Altos Estudios,SECRETARÍA GENERAL DE UNIVERSIDADES
ESTADO,737345,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2024,NO,,A la Fundación José Ortega y Gasset-Gregorio Marañón (FOM) para el desarrollo de actividades y gastos de funcionamiento del Instituto Universitario,SECRETARÍA GENERAL DE UNIVERSIDADES
ESTADO,737352,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",03/01/2024,NO,,Cuota por la participación en el Registro Europeo de Garantía de Calidad de la Educación Superior EQUAR,SECRETARÍA GENERAL DE UNIVERSIDADES
ESTADO,737535,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",04/01/2024,SI,,"ORDEN DE LA MINISTRA DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES POR LA QUE SE TRANSFIERE A LA AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS DOS MILLONES SETECIENTOS SESENTA MIL EUROS CON CARGO AL MRR",SECRETARÍA GENERAL DE INVESTIGACIÓN
ESTADO,737537,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",04/01/2024,SI,,"ORDEN DE LA MINISTRA DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES POR LA QUE SE TRANSFIERE AL CONSORCIO BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACIÓN CUARENTA MILLONES DE EUROS CON CARGO AL MRR",SECRETARÍA GENERAL DE INVESTIGACIÓN
ESTADO,737539,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",04/01/2024,SI,,"ORDEN DE LA MINISTRA DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES POR LA QUE SE CONCEDE A LA UNIVERSIDAD POLITÉCNICA DE VALENCIA LA SUBVENCIÓN PREVISTA EN EL REAL DECRETO 1131/2023, de 19 de diciembre",SECRETARÍA GENERAL DE INVESTIGACIÓN
