Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,433149,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,03/01/2019,NO,,"Ttes. 2017 Real Decreto 170/2009, de 13 de febrero, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el anexo I del Tratado Constitutivo de la Comunidad Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,433159,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria CERSAIE 2019 - Bolonia (Italia) - 23 al 27 de septiembre","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433162,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FABTECH 2019 - Chicago (EE.UU.) - 11 al 14 de noviembre","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433165,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FASTENEER FAIR 2019 - Stuttgart (Alemania) - 19 al 21 de marzo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433169,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA+Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria HANNOVER MESSE 2019 - Alemania - 1 al 5 de abril","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433171,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA + Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria GULFOOD 2019 - Dubái (E.A.U.) - 29 al 31 de octubre 2019","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433172,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria IDEX 2019 - Abu Dhabi (E.A.U.) - 17 al 21 de febrero","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433174,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria K 2019 - Düsseldorf (Alemania) - 16 al 23 de octubre","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433178,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria LIGNA 2019 - Hannover (Alemania) - 27 al 31 de mayo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433181,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PULIRE VERONA 2019 - Italia - 21 al 23 de mayo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433182,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria VALVE WORLD EXPOAMERICAS 2019 - Houston (EE.UU.) - 19 al 20 de junio","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433206,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,03/01/2019,NO,,FEDERACIÓN ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS 2018,DIRECCIÓN GENERAL DE COOPERACIÓN AUTONÓMICA Y LOCAL
ESTADO,433264,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria CBME SHANGHAI - China - 24 al 26 de julio de 2019","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433265,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA + Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria COSMOPROF - Las Vegas (EE.UU.) - 28 al 30 de julio de 2019","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433266,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FRANCHISE EXPO PARIS 2019 - Francia - 17 al 20 de marzo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433267,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria LIBRO DE BUENOS AIRES - 23 de abril al 13 de mayo 2019","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433268,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA + Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PROPOSTE 2019 - Como (Italia) - 15 al 17 de abril","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433269,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA+Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a PANAMÁ 2019 - Panamá - 16 al 19 de septiembre","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433270,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA2+Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a ARABIA SAUDI, OMAN - 23 al 27 junio de 2019","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433271,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a BOLIVIA, PARAGUAY 2019 - 17 a 22 de marzo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433272,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA+Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a INDIA 2019 - 25 al 26 de junio de 2019","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433273,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"ADENDA + Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a MÉXICO 2019 - México D.F. - 27 al 31 de mayo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
ESTADO,433274,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",03/01/2019,NO,,"Resolución de 21 de diciembre de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a VIETNAM 2019 - 18 al 21 de marzo","ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E."
