Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,543209,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",03/01/2021,NO,,"Resolución de 23 de diciembre de 2020, de la Secretaría de Estado de Educación por la que se convocan plazas de asistencia a eventos de formación dentro del marco de la acción eTwinning para el año 2021",DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL
ESTADO,543483,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",07/01/2021,NO,,"Subvenciones a los seguros agrícolas, ganaderos y forestales comprendidos en el 42º Plan de Seguros Agrarios Combinados",ENTIDAD ESTATAL DE SEGUROS AGRARIOS - ENESA
ESTADO,543905,MINISTERIO DE INDUSTRIA Y TURISMO,11/01/2021,NO,,Ayudas dirigidas a impulsar la aplicación de la ciberseguridad en las pequeñas y medianas empresas españolas en el marco del Programa Activa Ciberseguridad.,"FUNDACIÓN EOI, F.S.P."
ESTADO,543977,MINISTERIO DE VIVIENDA Y AGENDA URBANA,12/01/2021,NO,,"ACTUACION CONJUNTA Mº TRANSPORTES, MOVILIDAD Y AGENDA URBANA Y Mº CULTURA Y DEPORTE. 1,5% CULTURAL. PROY. REHABILITACION MUELLE DE CARGA DE LA COMPAÑIA ESPAÑOLA DE MINAS THARSIS",DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA
ESTADO,543980,MINISTERIO DE VIVIENDA Y AGENDA URBANA,12/01/2021,NO,,"ACTUACION CONJUNTA Mº TRANSPORTES, MOVILIDAD Y AGENDA URBANA Y Mº CULTURA Y M. DE DEPORTE Y CULTURA. 1,5% CULTURAL. ACTUACIONES EN MATERIA DE SEGURIDAD, PROTECCIÓN CONTRA INCENDIOS Y REFUERZO DEL SUELO DEL ESCENARIO DEL EDIFICIO DEL TEATRO REAL",DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA
ESTADO,544025,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",12/01/2021,NO,,Concesión de ayudas dirigidas a la realización de un curso de chino mandarín en Universidades de Pekín.,FUNDACIÓN ICO
ESTADO,544122,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,12/01/2021,NO,,"Ttes. 2019, Real Decreto 552/2020, de 2 de junio, sobre compensación al transporte marítimo y aéreo de mercancías incluidas en el Anexo I del Tratado de Funcionamiento de la Unión Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,544126,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,12/01/2021,NO,,"Ttes 2019 Real Decreto 147/2019, de 15 de marzo, sobre compensación al transporte marítimo y aéreo de mercancías no incluidas en el Anexo I del Tratado de Funcionamiento de la Unión Europea, con origen o destino en las Islas Canarias.",DELEGACIÓN DEL GOBIERNO EN CANARIAS
ESTADO,544127,MINISTERIO DE HACIENDA,12/01/2021,NO,,Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Fundación de Cultura “Ciudad de Cuenca” en el ejercicio 2021.,CONSORCIO DE LA CIUDAD DE CUENCA
ESTADO,544134,MINISTERIO DE HACIENDA,12/01/2021,NO,,"Convocatoria de la subvención directa del Consorcio de la Ciudad de Cuenca a la Fundación Antonio Pérez, en el ejercicio 2021.",CONSORCIO DE LA CIUDAD DE CUENCA
