Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
OTROS,543551,UNIVERSIDAD DE LA RIOJA,07/01/2021,NO,,convocatoria para cubrir un puesto de trabajo mediante contratación laboral temporal de un investigador con cargo al proyecto de referencia VITIREG,
OTROS,543663,UNIVERSIDAD REY JUAN CARLOS,08/01/2021,NO,,"PROGRAMA DE ""BECAS- PRÁCTICAS FUNDACIÓN ONCE – CRUE “CURSO 2020- 2021",
OTROS,543775,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),11/01/2021,NO,"I edició del programa de formació, intraemprenedoria i talent (UVemprén Valor Públic) amb ajudes i premis destinats a l¿estudiantat que realitze pràctiques externes en administracions públiques locals de la província de València","I edición del programa de formación, intraemprendimiento y talento (UVemprén Valor Público) con ayudas y premios destinados al estudiantado que realice prácticas externas en administraciones públicas locales de la provincia de Valencia",
OTROS,543802,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),11/01/2021,NO,"Premis UVemprén Startup dirigits a l¿estudiantat i persones titulades de grau, màster i doctorat oficials de la Universitat de València en el marc del Campus d'Emprenedoria UVemprén - Santander Universitats curs 2020-2021","Premios UVemprén Startup dirigidos al estudiantado y personas tituladas de grado, máster y doctorado oficiales de la Universitat de València en el marco del Campus de Emprendimiento UVemprén ¿ Santander Universidades curso 2020-2021",
OTROS,543869,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),11/01/2021,NO,Borses de viatge del Màster de Cooperació al Desenvolupament per al curs 2020-2021,CONVOCATORIA ANULADA Bolsas de viaje del Máster de Cooperación al Desarrollo para el curso 2020-2021,
OTROS,544546,UNIVERSIDAD DE SALAMANCA,14/01/2021,NO,,"Resolución de 13 de enero de 2021, del Vicerrectorado de Estudiantes y Sostenibilidad, por la que se convocan ayudas al estudio para alumnos que cursen enseñanzas de grado en la Universidad de Salamanca durante el curso académico 2020/2021.",
OTROS,544619,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,14/01/2021,NO,,"RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA UN PREMIO A TRABAJO FIN DE GRADO, Y OTRO A TRABAJO FIN DE MASTER, EN EL MARCO DE LA PROMOCIÓN DE LOS OBJETIVOS DE DESARROLLO SOSTENIBLE ¿ EJE PROSPERIDAD DE LA AGENDA 20",
OTROS,544629,"CÁMARA DE COMERCIO DE PONTEVEDRA, VIGO Y VILAGARCÍA DE AROUSA",14/01/2021,NO,,"Convocatoria TICCámaras 2020 - Comercio Minorista Cámara de Comercio de Pontevedra, Vigo y Vilagarcía de Arousa",
OTROS,544691,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,14/01/2021,NO,,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE PUBLICA LA 1ª CONVOCATORIA DEL PROGRAMA DE MOVILIDAD INTERNACIONAL ERASMUS + MODALIDAD PRÁCTICAS CURSO 2020/2021,
OTROS,544756,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),15/01/2021,NO,Ajudes per a activitats que contribuïsquen a dinamitzar l'ús del  valencià en la Universitat de València durant l¿any 2021,Ayudas para actividades que contribuyan a dinamizar el uso del valenciano en la Universitat de València durante el año 2021,
OTROS,544766,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),15/01/2021,NO,Premis Fernando Sapiña 2021 a la qualitat lingüística en l¿elaboració de materials docents en valencià i en anglès,Premios Fernando Sapiña 2021 a la calidad lingüística en la elaboración de materiales docentes en valenciano y en inglés,
OTROS,544773,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),15/01/2021,NO,Premis Mavi Dolç i Gastaldo 2021 a l'ús del valencià i la qualitat lingüística en les tesis doctorals inscrites i defensades en la Universitat de València,Premios Mavi Dolç i Gastaldo 2021 al uso del valenciano y la calidad lingüística en las tesis doctorales inscritas y defendidas en la Universitat de València,
OTROS,544774,UNIVERSIDAD JAUME I DE CASTELLÓN,15/01/2021,NO,,Beca de colaboración para la elaboración de documentación relacionada con la promoción de los revestimientos cerámicos (Aula Cerámica)(id 722/1),
OTROS,544816,UNIVERSIDAD JAUME I DE CASTELLÓN,15/01/2021,NO,,Beca de colaboración Juan Murga Clausell(id 709/1),
OTROS,544820,UNIVERSIDAD JAUME I DE CASTELLÓN,15/01/2021,NO,,Beca de colaboración para el estudio de la verificación de circuitos cuánticos(id 723/1),
