Administración,Administraci�n,Código BDNS,C�digo BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Mecanismo de Recuperaci�n y Resiliencia,Título cooficial,Título de la convocatoria,T�tulo cooficial,T�tulo de la convocatoria,Órgano,�rgano
ESTADO,,2006199810200001,,MINISTERIO DEL INTERIOR,14/01/2015,NO,,,Convenio específico año 2006,,,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,
ESTADO,,2007199810200001,,MINISTERIO DEL INTERIOR,09/01/2015,NO,,,Convenio específico año 2007,,,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,
ESTADO,,2008199810200001,,MINISTERIO DEL INTERIOR,09/01/2015,NO,,,Convenio específico año 2008,,,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,
ESTADO,,2008200870870101,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO ENTRE LA AGE Y LA ADMINISTRACIÓN PÚBLICA DE LA CA DE CANARIAS PARA LA FINANCIACIÓN DEL TRANSPORTE REGULAR DE VIAJEROS POR CARRETERA EN LAS ISLAS CANARIAS PARA EL EJERCICIO 20028,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2008200870870301,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO DE COLABORACIÓN ENTRE LA A.G.E. Y LA DIPUTACIÓN GENERAL DE ARAGÓN PARA LA FINANCIACIÓN DE INVERSIONES EN LA PROVINCIA DE TERUEL,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2008200870870501,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO DE COLABORACIÓN  ENTRE LA A.G.E. Y LA GENERALITAT DE CATALUÑA PARA FINANCIACIÓN DE INFRAESTRUCTURAS DEL TRANSPORTE METROPOLITANO DE BARCELONA PARA EL PERÍODO 2007-2010,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2008200870870601,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO ENTRE LA A.G.E. Y LA GENERALITAT PARA LA FINANCIACIÓN DE INFRAESTRUCTURAS DEL TRANSPORTE METROPOLITANO DE VALENCIA PARA EL EJERCICIO 2008,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2008200870870701,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO DE COLABORACIÓN ENTRE LA A.G.E. Y LA COMUNIDAD DE MADRID PARA LA FINANCIACIÓN DE INFRAESTERUCTURAS DEL TRANSPORTE METROPOLITANO DE MADRID 2008-2010,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2009199810200001,,MINISTERIO DEL INTERIOR,09/01/2015,NO,,,Convenio específico año 2009,,,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,
ESTADO,,2009200970870801,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,"MODIFICACIÓN DEL CONVENIO DE COLABORACIÓN DE 22/12/2003, ENTRE LA CA DE ARAGÓN Y LA A.G.E.PARA LA CONSTRUCCIÓN DE LA 2ª TERMINAL DEL TREN DE ALTA VELOCIDAD, Y SU CONEXIÓN CON AEROPUERTO Y PLATAFORM.LOGÍSTICA DE ZARAGOZA",,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2010199810200001,,MINISTERIO DEL INTERIOR,09/01/2015,NO,,,Convenio específico año 2010,,,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,
ESTADO,,2011199810200001,,MINISTERIO DEL INTERIOR,09/01/2015,NO,,,Convenio específico año 2011,,,D.G. DE PROTECCIÓN CIVIL Y EMERGENCIAS,
ESTADO,,2011200870860111,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO AGE Y CIUDAD DE CUETA FINANCIACIÓN COSTES FUNCIONAMIENTO PLANTA DESALINIZDORA PARA ABASTECIMIENTO DE AGUA,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2011200870860211,,MINISTERIO DE HACIENDA,30/01/2015,NO,,,CONVENIO AGE Y CIUDAD DE MELILLA FINANCIACIÓN COSTES FUNCIONAMIENTO PLANTA DESALINIZADORA PARA ABASTECIMIENTO DE AGUA,,,SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL,
ESTADO,,2011201166205301,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",28/01/2015,NO,,,Convenio de colaboración suscrito entre el Ministerio de Educación y la Universidad de Alcalá para realizar actividades de intercambio y formación inicial de alumnos de la Escuela Universitaria de Magisterio,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166205401,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",29/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universitat Autónoma Barcelona para realizar actividades inicial de alumnos de Facultad Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166205501,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",29/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Autónoma Madrid para actividades intercambio y formación de alumnos Facultad Formación Profesorado y Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166205601,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",29/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universitat Barcelona para realizar actividades intercambio y formación alumnos de Facultat Formació del Professorat.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166205701,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",29/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Burgos para realizar actividades inicial de alumnos de Títulos Maestro de Facultad Humanidades y Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166205801,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",29/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Cantabria para realizar actividades intercambio de alumnos de Facultad Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166205901,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Castilla La Mancha para realizar actividades de Facultad Educación en Ciudad Real.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206001,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Complutense para realizar actividades intercambio y formación inicial de Facultad Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206101,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad  Córdoba para realizar actividades  de alumnos de Facultad Ciencias Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206201,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Extremadura para realizar actividades intercambio y formación inicial de alumnos de Facultad de Formación del Profesorado y Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206301,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad Granada para realizar actividades intercambio y formación inicial de alumnos de Facultad de Ciencias de Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206401,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad de La Laguna para realizar actividades intercambio y formación de Facultad de Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206501,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad de Las Palmas para realizar actividades intercambio Facultad de Formación del Profesorado.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
ESTADO,,2011201166206601,,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",30/01/2015,NO,,,Convenio colaboración entre Ministerio Educación y Universidad de  Málaga para realizar actividades inicial Facultad de Ciencias de la Educación.,,,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,
