Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ESTADO,300615,MINISTERIO DE DEFENSA,11/01/2016,NO,,"Subvenciones para los Organismos, Asociaciones,Fundaciones, e Instituciones, relacionadas con el Ejército de Tierra",DIRECCIÓN GENERAL DE PERSONAL
ESTADO,300616,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,11/01/2016,NO,,Convocatoria Estrategia 2015 de asignación de recursos de acciones de la estrategia correspondientes a los ejercicios 2015-2016: Sectoriales e Intersectoriales,FUNDACIÓN ESTATAL PARA LA PREVENCIÓN DE RIESGOS LABORALES F.S.P.
ESTADO,300617,MINISTERIO DE DEFENSA,11/01/2016,NO,,"Orden DEF./   /2016, por la que se convocan los Premios Defensa 2016",SECRETARÍA GENERAL DE POLÍTICA DE DEFENSA
ESTADO,300619,MINISTERIO DE DEFENSA,11/01/2016,NO,,"Orden DEF/2004/2015,de 17 de septiembre, por la que se convocan subvenciones para promover la cultura de defensa, año 2016",SECRETARÍA GENERAL DE POLÍTICA DE DEFENSA
ESTADO,300620,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,11/01/2016,NO,,"Convocatoria ordinaria 2013 de asignación de recursos: Acciones IndirectasTerritoriales, Indirectas Sectoriales y Directas.",FUNDACIÓN ESTATAL PARA LA PREVENCIÓN DE RIESGOS LABORALES F.S.P.
ESTADO,300621,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",11/01/2016,NO,,SEIS BECAS DE FORMACION DE POSTGRADUADOS,AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO
ESTADO,300622,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,11/01/2016,NO,,"Convocatoria ordinaria 2014 de asignación de recursos: AccionesTransversales, Sectoriales y Directas.",FUNDACIÓN ESTATAL PARA LA PREVENCIÓN DE RIESGOS LABORALES F.S.P.
ESTADO,300623,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",12/01/2016,NO,,Programa Fundación ICO Becas – China para el estudio de chino mandarín en Pekín,FUNDACIÓN ICO
ESTADO,300624,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",13/01/2016,NO,,CONVENIO ESPECÍFICO DE COLABORACIÓN MAGRAMA-FIAB PARA EL FOMENTO DEL SECTOR INDUSTRIAL AGROALIMENTARIO,DIRECCIÓN GENERAL DE ALIMENTACIÓN
ESTADO,300626,MINISTERIO DE INDUSTRIA Y TURISMO,13/01/2016,NO,,Subvenciones para el fomento de las patentes y modelos de utilidad españoles,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A."
