Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
OTROS,606226,UNIVERSIDAD DE VALLADOLID,17/01/2022,NO,,"Resolución de 17 de enero de 2021, del Vicerrectorado de Internacionalización de la Universidad de Valladolid, por la que se convocan BECAS STEM WOMEN UVA-SANTANDER IBEROAMÉRICA+ASIA CURSO ACADÉMICO 2022-2023.",
OTROS,606251,UNIVERSIDAD DE VALLADOLID,17/01/2022,NO,,"Resolución de 17 de enero de 2021, del Vicerrectorado de Internacionalización de la Universidad de Valladolid, por la que se convocan IBEROAMÉRICA + ASIA/UNIVERSIDAD DE VALLADOLID – BANCO SANTANDER CURSO ACADÉMICO 2022-2023.",
OTROS,606267,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),17/01/2022,NO,Ajudes per a activitats que dinamitzen l'ús del  valencià en la Universitat de València durant l¿any 2022,Ayudas para actividades que dinamicen el uso del valenciano en la Universitat de València durante el año 2022,
OTROS,606272,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),17/01/2022,NO,Premis Fernando Sapiña 2022 a la qualitat lingüística en l¿elaboració de materials docents en valencià i en anglès,Premis Fernando Sapiña 2022 a la calidad lingüística en la elaboración de materiales docentes en valenciano y en inglés,
OTROS,606273,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),17/01/2022,NO,Premis Mavi Dolç i Gastaldo 2022 a l'ús del valencià i la qualitat lingüística en les tesis doctorals inscrites i defensades en la UV,Premios Mavi Dolç i Gastaldo 2022 al uso del valenciano y la calidad lingüística en les tesis doctorals inscritas y defendidas en la UV,
OTROS,606386,UNIVERSIDAD DE VALLADOLID,18/01/2022,NO,,"Resolución de 17 de enero de 2022, del Rectorado de la UVa, por la que se convocan ayudas financieras en el marco del Programa ERASMUS+ KA107 para alumnos de Doctorado de la UVa para realizar prácticas curriculares en empresas extranjeras. Curso 2021/2022",
OTROS,606410,UNIVERSIDAD DE VALLADOLID,18/01/2022,NO,,"Resolución de 17 de enero de 2022, del Rectorado de la Universidad de Valladolid, por la que se convocan ayudas a becarios Erasmus+KA107 en la Uva para realización de curso presencia “Spanish for Erasmus Students”.",
OTROS,606517,UNIVERSIDAD DE CASTILLA-LA MANCHA,18/01/2022,NO,,Convocatoria de una beca de colaboración para la actualización de la web de la Facultad de Humanidades de Toledo 2022,
OTROS,606540,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,Convocatoria: PIP 2022 Misión Comercial Costa de Marfil y Senegal. 12-18 junio para empresas de la Comunidad Valenciana,
OTROS,606553,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,Convocatoria: PIP 2021 Misión Comercial Corea del Sur y Taiwán. 1-9 de octubre para empresas de la Comunidad Valenciana,
OTROS,606560,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,Convocatoria: PIP 2022 Misión Comercial Argelia y Marruecos. 23-29 octubre para empresas de la Comunidad Valenciana,
OTROS,606561,CÁMARA DE COMERCIO DE ALICANTE,18/01/2022,NO,,"Convocatoria: PIP 2022 Misión Comercial a Turquía, 28 noviembre - 3 diciembre para empresas de la Comunitat Valenciana",
OTROS,606691,CÁMARA DE COMERCIO DE GRANADA,19/01/2022,NO,,VISITA FERIA GULFOOD 2022,
OTROS,606692,CÁMARA DE COMERCIO DE GRANADA,19/01/2022,NO,,CONVOCATORIA MISIÓN COMERCIAL DIRECTA DUBAI 2022,
OTROS,606693,CÁMARA DE COMERCIO DE LEÓN,19/01/2022,NO,,"MISION COMERCIAL TASTYWINES ON LINE SEUL – COREA ,22 de marzo de 2022. AVISO: se pospone la ejecución de la acción al 20 de abril de 2022",
OTROS,606784,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,20/01/2022,NO,,CONVENIO ACUERDO ESPECÍFICO DE COLABORACIÓN ENTRE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE Y LA FUNDACIÓN JORGE ALIÓ PARA LA COLABORACIÓN EN EL XII CERTAMEN NACIONAL Y IX CERTAMEN INTERNACIONAL DE PINTURA ¿MIRADAS¿,
OTROS,606801,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,20/01/2022,NO,,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE EFECTÚA CONVOCATORIA ANTICIPADA PARA EL EJERCICIO 2022 DE UNA BECA DE FORMACIÓN UNIVERSITARIA EN COMUNICACIÓN INTERNA Y EXTERNA DE COOPERACIÓN AL DESARROLLO Y VOLUNTARIADO,
OTROS,606817,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,20/01/2022,NO,,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE EFECTÚA CONVOCATORIA ANTICIPADA PARA EL EJERCICIO 2022 DE UNA BECA DE FORMACIÓN UNIVERSITARIA EN COMUNICACIÓN INTERNA Y EXTERNA PARA EL VICERRECTORADO DE RELACIONES INTERNACIONA,
OTROS,606831,ADRI PALOMARES - ASOCIACIÓN DE DESARROLLO RURAL INTEGRAL  PALOMARES (VIA DE LA PLATA - SALINAS - NORTE DUERO),20/01/2022,NO,,CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES A ASOCIACIONES Y ENTIDADES SIN ÁNIMO DE LUCRO DEL ÁMBITO DE ACTUACIÓN DE A.D.R.I “PALOMARES” DESTINADAS A LA REALIZACIÓN DE INVERSIONES DE CARÁCTER NO PRODUCTIVO EN EL MARCO DEL PROGRAMA LEADER (2014 – 2020),
OTROS,606847,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,20/01/2022,NO,,EXTRACTO DE LA RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE CONVOCA LA 2 CONVOCATORIA DE AYUDAS PARA ESTUDIANTES PARTICIPANTES EN EL PROGRAMA DE MOVILIDAD INTERNACIONAL ERASMUS CON FINES DE ESTUDIOS 2021/2022 (código de s,
OTROS,606855,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,20/01/2022,NO,,"RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA LA 2 CONVOCATORIA DEL PROGRAMA DE MOVILIDAD INTERNACIONAL ERASMUS MODALIDAD PRÁCTICAS, CURSO 2021/2022 (CÓDIGO SUBVENCIÓN: 11-131-4-2021-0064)",
OTROS,606874,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,20/01/2022,NO,,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCA EL PROGRAMA DE MOVILIDAD INTERNACIONAL ERASMUS CON PAÍSES ASOCIADOS (KA107- ARMENIA) PARA PERSONAL. CURSO ACADÉMICO 2021/2022 (código subvención: 11-131-4-2021-0063),
OTROS,607012,CÁMARA DE COMERCIO DE LEÓN,21/01/2022,NO,,"CONVOCATORIA DE VISITA A LA FERIA GULFOOD DUBAI 2022, entre los días 12 y 15 de febrero de 2022",
OTROS,607099,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),24/01/2022,NO,"Ajudes a associacions, col·lectius i agrupacions d'electors d'estudiants amb representació en el Claustre de la UV de l'any 2021","Ayudas a asociaciones, colectivos y agrupaciones de electores de estudiantes con representación en el Claustro de la UV del año 2021.",
OTROS,607105,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),24/01/2022,NO,Premis per a l'alumnat que ha estat guanyador de l'Olimpíada de Matemàtiques organitzada per la Reial Societat Matemàtica Espanyola en el curs 2021-2022,"Premios para el alumnado ganador de la Olimpiada de Matemáticas organizada por la Real Sociedad Matemática Española, en el curso 2021-2022",
OTROS,607200,CONSORCI DE L'ESPAI NATURAL DE LES GUILLERIES-SAVASSONA,24/01/2022,NO,"Any 2022, convocatòria de subvencions dins l'àmbit de l'Espai Natural de les Guilleries Savassona.","Año 2022, convocatoria de subvenciones en el ámbito de l'Espai Natural de les Guilleries Savassona.",
OTROS,607215,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,24/01/2022,NO,,CONVENIO ESPECÍFICO DE COLABORACIÓN ENTRE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE Y LA ASOCIACIÓN CINEMATOGRÁFICA Y AUDIOVISUAL DE SAX (ACAS) PARA LA COLABORACIÓN EN EL XV FESTIVAL INTERNACIONAL DE CINE DE SAX (JULIO 2021),
OTROS,607220,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,24/01/2022,NO,,CONVENIO ACUERDO ESPECIFICO DE COLABORACION ENTRE LA UNIVERSIDAD MIGUEL HERNANDEZ Y EL AYUNTAMIENTO DE SANT JOAN D'ALACANT PARA LA COLABORACION EN EL XXI FESTIVAL DE CINE DE SAN JOAN D'ALACANT 2021,
OTROS,607225,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,24/01/2022,NO,,CONVENIO ESPECÍFICO DE COLABORACIÓN ENTRE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE Y LA FUNDACIÓN MEDITERRÁNEO PARA LA COLABORACIÓN EN LA 44 EDICIÓN DEL FESTIVAL INTERNACIONAL DE CINE INDEPENDIENTE DE ELCHE (JULIO 2021),
OTROS,607241,UNIVERSIDAD DE CASTILLA-LA MANCHA,24/01/2022,NO,,Convocatoria del Premio al Mejor Trabajo de Investigación sobre Igualdad y Género 2022 del Aula Igualdad y Género “Lola Martínez” de la Universidad de Castilla-La Mancha,
OTROS,607246,UNIVERSIDAD DE BURGOS,24/01/2022,NO,,"En el marco del proyecto Erasmus+ 2020-1-ES01-KA107-079656 en el que participan la Universidad de Burgos (UBU), España, como Universidad coordinadora y la Chouaib Doukkali University (UCD), Marruecos, se convoca ayuda de 16.125€ para 3 plazas de movilidad",
OTROS,607248,CÁMARA DE COMERCIO DE ALMERÍA,24/01/2022,NO,,Convocatoria PIP 2022 VISITA FERIA FRUIT LOGÍSTICA (ALEMANIA) para empresas de Almería,
OTROS,607255,UNIVERSIDAD DE CASTILLA-LA MANCHA,24/01/2022,NO,,Convocatoria de una beca de colaboración para la realización de tareas de apoyo informático en la Unidad de Educación Médica de la Facultad de Medicina de Ciudad Real. Año 2022,
OTROS,607262,UNIVERSIDAD JAUME I DE CASTELLÓN,25/01/2022,NO,,"Beca de iniciación a la investigación (Proyecto 21I567 «Refrigeración por compresión con fraccionamiento: exploración de mezclas e incertidumbre...)  Directores: Rodrigo Llopis Doménech y Daniel Sánchez García-Vacas, Departamento de Ingenie",
OTROS,607296,UNIVERSIDAD JAUME I DE CASTELLÓN,25/01/2022,NO,,"CONVOCATORIA DE AYUDAS DE ESTUDIO PARA CURSOS DE PREPARACIÓN Y ACREDITACIÓN DE ALEMÁN, FRANCÉS E ITALIANO PARA ESTUDIANTADO DE GRADO, CURSO ACADÉMICO 2021-22 (PRIMER SEMESTRE).",
