Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
OTROS,330244,UNIVERSIDAD DE OVIEDO,25/01/2017,NO,,RESOLUCION DE 12 DE ENERO DE 2017 AYUDAS ERASMUS +,
OTROS,330253,UNIVERSIDAD DE OVIEDO,25/01/2017,NO,,RESOLUCION DE 12 DE ENERO DE 2017 AYUDAS DESTINADOS A CONVENIOS INSTITUCIONES EXTRANJERAS,
OTROS,330491,UNIVERSIDAD DE ALCALÁ,26/01/2017,NO,,"Extracto del Acuerdo de Consejo de Gobierno de la Universidad de Alcalá de 1 de enero de 2017, por el que se convocan las Ayudas 2017 de preparación de proyectos europeos.",
OTROS,330493,UNIVERSIDAD DE ALCALÁ,26/01/2017,NO,,"Extracto del Acuerdo de Consejo de Gobierno de la Universidad de Alcalá de 26 de enero de 2017, por el que se convocan las Ayudas 2017 de organización de congresos",
OTROS,330501,UNIVERSIDAD DE ALCALÁ,26/01/2017,NO,,"Extracto del Acuerdo de Consejo de Gobierno de la Universidad de Alcalá de 26 de enero de 2017, por el que se convocan las Ayudas 2017 de Financiación Puente a Grupos Consolidados",
OTROS,330502,UNIVERSIDAD DE ALCALÁ,26/01/2017,NO,,"Extracto del Acuerdo de Consejo de Gobierno de la Universidad de Alcalá de 26 de enero de 2017, por el que se convocan las Ayudas 2017 para la realización de Proyectos para potenciar la Creación y Consolidación de Grupos de Investigación",
OTROS,330505,UNIVERSIDAD DE ALCALÁ,26/01/2017,NO,,"Extracto del Acuerdo de Consejo de Gobierno de la Universidad de Alcalá de 26 de enero de 2017, por el que se aprueba la IV convocatoria de ayudas para la extensión internacional de patentes por el procedimiento PCT",
OTROS,330511,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),26/01/2017,NO,,Premios a la mejor comunicación oral y el mejor póster presentados por estudiantes de máster al V Congreso de Investigación Biomédica.,
OTROS,330888,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,31/01/2017,NO,,RESOLUCIÓN DE LA UNIVERSITAT POLITÈCNICA DE VALÈNCIA DE 24 DE ENERO DE 2017 POR LA QUE SE CONVOCAN  AYUDAS DE ACCIÓN SOCIAL CAUSA SOBREVENIDA,
OTROS,330919,UNIVERSIDAD DE ALCALÁ,31/01/2017,NO,,Extracto del Acuerdo del Consejo Social por el que se aprueba la convocatoria del XII Premio del Consejo Social a la Transferencia del Conocimiento Unviersidad-Sociedad,
