Administración,Código BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Título cooficial,Título de la convocatoria,Órgano
ANDALUCÍA,669048,INSTITUTO ANDALUZ DE LA MUJER,04/01/2023,NO,,"Resolución de 26 de enero de 2023, por la que se conv. por el Inst. And. de la Mujer para 2023 Sub. en rég. conc. no comp. a las Universidades Públicas. para promover la empleabilidad y el emprendimiento de mujeres universitarias, UNIVERGEM, Línea 2.",
ANDALUCÍA,670126,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",11/01/2023,SI,,"Subvención Excepcional para el proyecto “Estrategias y acciones en zonas desfavorecidas de Andalucía que apoyan y mejoran los procesos de inclusión sociofamiliar en familias con menores en situación de absentismo y/o fracaso escolar”, en el marco del PRTR",
ANDALUCÍA,670752,INSTITUTO ANDALUZ DE LA MUJER,16/01/2023,NO,,"Resolución de 05 de enero de 2023, por la que se convoca para 2023, en régimen de concurrencia no competitiva, por el Instituto Andaluz de la Mujer, subvenciones para la promoción de la igualdad de género a Universidades Públicas , Línea 1.",
ANDALUCÍA,670994,"CONSEJERÍA DE UNIVERSIDAD, INVESTIGACIÓN E INNOVACIÓN",17/01/2023,SI,,"Orden de 17 de enero de 2023,del Consejero de Universidad,Investigación e Innovación,por la que se aprueban las BB.RR.y convocatoria 2023,para la conc.de ayudas a proy.de I+D+I,en rég.de conc.comp.,en el marco del Plan Complementario de Ciencias Marinas",
ANDALUCÍA,671049,SERVICIO ANDALUZ DE EMPLEO,17/01/2023,SI,,"Decreto-ley 27/2021, de 14 de diciembre, por el que se aprueban medidas de empleo en el marco del Plan de Recuperación,Transformación y Resiliencia para Andalucía,convocatoria de la línea 4:Nuevos Proyectos territoriales para el reequilibrio y la equidad",
ANDALUCÍA,671569,"CONSEJERÍA DE INDUSTRIA, ENERGÍA Y MINAS",19/01/2023,NO,,"Resolución de 19 de enero de 2023, Subvenciones en concurrencia no competitiva para incentivar proyectos tractores de grandes empresas de la industria manufacturera y la logística avanzada,Convocatoria 2023 y 2024",
ANDALUCÍA,672384,CONSEJERÍA DE FOMENTO ARTICULACIÓN DEL TERRITORIO Y VIVIENDA,25/01/2023,NO,,"Orden de 25 de enero de 2023 por la que se Convocan para el ejercicio 2023, las ayudas previstas en la Orden de 16 de mayo de 2022, destinadas a la redacción de Planes Especiales de adecuación ambiental y territorial de agrupaciones de edif. irregulares.",
ANDALUCÍA,672461,"CONSEJERÍA DE JUSTICIA, ADMINISTRACIÓN LOCAL Y FUNCIÓN PÚBLICA",26/01/2023,NO,,"Subvención Nominativa 2022,COSITAL(Colegio Oficial de Secretarios, Interventores y Tesoreros de la Administración Local)",
ANDALUCÍA,672462,CONSEJERÍA DE SALUD Y CONSUMO,26/01/2023,NO,,"Subvención Nominativa 2022, Fundación Pública Andaluza para la gestión de la investigación en Salud de Sevilla (FISEVI) para el desarrollo del proyecto Centro Andaluz de Farmacovigilancia 2021-2022",
ANDALUCÍA,672463,CONSEJERÍA DE SALUD Y CONSUMO,26/01/2023,NO,,"SUBVENCIÓN NOMINATIVA 2022, CONFEAFA-Estrategia Alzheimer",
ANDALUCÍA,672464,"CONSEJERÍA DE EMPLEO, EMPRESA Y TRABAJO AUTÓNOMO",26/01/2023,NO,,"Subvención Nominativa 2022, UGT-Andalucía articulada por convenio, para la financiación de actividades que redunden en la mejora de las relaciones laborales y en la defensa y promoción de los intereses de los trabajadores",
ANDALUCÍA,672466,"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD",26/01/2023,SI,,Subvención Excepcional para la Universidad de Málaga para el desarrollo del proyecto de innovación tecnológica y social de cuidados domiciliarios con cargo a los fondos europeos procedentes del Mecanismo para la Recuperación y Resiliencia,
