Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
838182,NO,CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,AYUNTAMIENTO DE CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,,06/06/2025,Acuerdo de la Junta de Gobierno Local de 22 de mayo de 2025 por el que se aprueba el convenio de concesión de subvención nominativa con la Fundación Secretariado Gitano. Proyecto Promoción Imagen Social Población Gitana en Castelló 2025,
838181,NO,BELLVÍS,AYUNTAMIENTO DE BELLVÍS,,06/06/2025,Subvención para la rehabilitación de fachadas 2025,Subvenció per a la rehabilitació de façanes 2025
838179,NO,LAUDIO/LLODIO,AYUNTAMIENTO DE LAUDIO/LLODIO,,06/06/2025,Aprobación de la convocatoria del XVII Concurso infantil de carteles de las fiestas “Sanrokeak 2025”.,“Sanrokeak 2025” jaietako XVII. Umeen kartel lehiaketaren deialdia onartzea.
838175,NO,LLÍRIA,AYUNTAMIENTO DE LLÍRIA,,06/06/2025,BASES PARA LA CONCESIÓN DE BECAS DE FORMACIÓN DEL AYUNTAMIENTO DE LLÍRIA EN EL PROGRAMA EL “BECAS LLIRIA ET BECA” PARA JÓVENES MODALIDAD ESTUDIANTES.,
838171,NO,GRANADA,AYUNTAMIENTO DE GRANADA,,06/06/2025,FERIA DEL LIBRO 2025,
838169,NO,VANDELLÒS I L'HOSPITALET DE L'INFANT,AYUNTAMIENTO DE VANDELLÒS I L'HOSPITALET DE I'INFANT,,06/06/2025,CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE VANDELLÓS Y EL HOSPITALET DE L’INFANT Y EL CENTRO DE ESTUDIOS DE LA VALL,CONVENI ENTRE L’AJUNTAMENT DE VANDELLÒS I L’HOSPITALET DE L’INFANT I L’ENTITAT CENTRE D’ESTUDIS DE LA VALL PER A LES ACTIVITATS DE 2025
838164,NO,CIUDAD RODRIGO,AYUNTAMIENTO DE CIUDAD RODRIGO,,06/06/2025,"SUBVENCIÓN NOMINATIVA A ASPRODES,PARA DESARROLLO DE SU PLAN DE GESTIÓN TERRITORIAL 2025",
838162,NO,CAMPEZO/KANPEZU,AYUNTAMIENTO DE CAMPEZO/KANPEZU,,06/06/2025,Convocatoria subvención para la rehabilitación de edificios año 2025,2025.urteko eraikinak birgaitzeko dirulaguntzen deialdia
838160,NO,MONTILLA,AYUNTAMIENTO DE MONTILLA,,06/06/2025,CONCURSO PREMIO CARTEL ANUNCIADOR FERIA EL SANTO 2025,
838154,NO,AZKOITIA,AYUNTAMIENTO DE AZKOITIA,,06/06/2025,Subvenciones de gestión de servicios ambientales,Ingurumen zerbitzuak kudeatzeko dirulaguntzak
838151,NO,GRANADA,AYUNTAMIENTO DE GRANADA,,06/06/2025,CONVOCATORIA FIM 2025,
838146,NO,MIERES,AYUNTAMIENTO DE MIERES (ASTURIAS),,06/06/2025,CONVOCATORIA DE SUBVENCIONES A LAS ASOCIACIONES VECINALES DEL MUNICIPIO DE MIERES (EJERCICIO 2025),
838145,NO,CASTEJÓN DE SOS,AYUNTAMIENTO DE CASTEJÓN DE SOS,,06/06/2025,Subvención nominativa directa a la Asociación Puro Pirineo para gastos de mantenimiento de la asociación en el 2025,
838142,NO,MULA,AYUNTAMIENTO DE MULA,,06/06/2025,"CONVENIO DE COLABORACIÓN PARA LA SUBVENCIÓN A FAVOR DE LA PEÑA ALEGRÍA MULEÑA POR SUS ACTIVIDADES DE INTERÉS SOCIAL EN EL MUNICIPIO, 2025",
838141,NO,VALENCIA,AYUNTAMIENTO DE VALENCIA,,06/06/2025,"Convenio de colaboración con la Fundación de la Comunitat Valenciana para la Promoción Estratégica, el desarrollo y la Innovación Urbana, para la realización de acciones dirigidas a la innovación y el emprendimiento tecnológico 2025",
838138,NO,CAMPEZO/KANPEZU,AYUNTAMIENTO DE CAMPEZO/KANPEZU,,06/06/2025,Convocatoria de subvenciones a las Juntas Administrativas de Campezo para financiación de gastos generales y fiestas año 2025,"Kanpezuko Administrazio Batzarrentzako dirulaguntzen deialdia, 2025eko gastu orokorrak eta jaiak finantzatzeko"
838137,NO,BELLVÍS,AYUNTAMIENTO DE BELLVÍS,,06/06/2025,Subvenciones a entidades y asociaciones municipales 2025,Subvencions a entitats i associacions municipals 2025
838136,NO,ZARAGOZA,AYUNTAMIENTO DE ZARAGOZA,,06/06/2025,CONVENIO CERMI: ATENCIÓN DISCAPACIDAD,
838133,NO,TOTANA,AYUNTAMIENTO DE TOTANA,,06/06/2025,"CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE TOTANA Y LA ASOCIACIÓN MURCIA RUEDA, PARA LA ORGANIZACIÓN DE LS II FERIA DE TURISMO DE INTERIOR DE LA REGIÓN DE MURCIA 2025",
